Mouse ID	Left Ear Punch	Right Ear Punch	Body Weight (g)	Fasting Glucose	Donor	Donor Type	Cage ID	Diet	Diet Type	Food Weight Out (g)	Food Weight In (g)	Date	Notes	Additional Notes	
M1	0	0	20.3	124	TFSCS023	Thai	1	TD.86489	LowFiber	NA	227.4	7/11/17	8 weeks old		
M2	1	0	18.7	218	TFSCS023	Thai	1	TD.86489	LowFiber	NA	227.4	7/11/17	5-6 weeks old		
M3	0	1	16.8	167	TFSCS023	Thai	1	TD.86489	LowFiber	NA	227.4	7/11/17	5-6 weeks old		
M4	1	1	15.9	113	TFSCS023	Thai	1	TD.86489	LowFiber	NA	227.4	7/11/17	5-6 weeks old		
M5	2	0	16.7	155	TFSCS023	Thai	1	TD.86489	LowFiber	NA	227.4	7/11/17	5-6 weeks old		
M6	0	0	18	98	IMP.263	US	2	TD.86489	LowFiber	NA	226.8	7/11/17	8 weeks old		
M7	1	0	18.5	126	IMP.263	US	2	TD.86489	LowFiber	NA	226.8	7/11/17	5-6 weeks old		
M8	0	1	17.3	99	IMP.263	US	2	TD.86489	LowFiber	NA	226.8	7/11/17	5-6 weeks old		
M9	1	1	18.6	104	IMP.263	US	2	TD.86489	LowFiber	NA	226.8	7/11/17	5-6 weeks old		
M10	0	2	19.4	148	IMP.263	US	2	TD.86489	LowFiber	NA	226.8	7/11/17	5-6 weeks old		
M1	0	0	20.7	NA	TFSCS023	Thai	1	TD.86489	LowFiber	14.3	228.8	7/25/17			
M2	1	0	19.7	NA	TFSCS023	Thai	1	TD.86489	LowFiber	14.3	228.8	7/25/17			
M3	0	1	18.1	NA	TFSCS023	Thai	1	TD.86489	LowFiber	14.3	228.8	7/25/17			
M4	1	1	17.8	NA	TFSCS023	Thai	1	TD.86489	LowFiber	14.3	228.8	7/25/17			
M5	2	0	18.2	NA	TFSCS023	Thai	1	TD.86489	LowFiber	14.3	228.8	7/25/17			
M6	0	0	20.9	NA	IMP.263	US	2	TD.86489	LowFiber	7.1	227.9	7/25/17			
M7	1	0	20	NA	IMP.263	US	2	TD.86489	LowFiber	7.1	227.9	7/25/17			
M8	0	1	19.4	NA	IMP.263	US	2	TD.86489	LowFiber	7.1	227.9	7/25/17			
M9	1	1	20.6	NA	IMP.263	US	2	TD.86489	LowFiber	7.1	227.9	7/25/17			
M10	0	2	20.3	NA	IMP.263	US	2	TD.86489	LowFiber	7.1	227.9	7/25/17			
M1	0	0	21.4	NA	TFSCS023	Thai	1	TD.86489	LowFiber	29.9	206	8/8/17			
M2	1	0	20.3	NA	TFSCS023	Thai	1	TD.86489	LowFiber	29.9	206	8/8/17			
M3	0	1	19	NA	TFSCS023	Thai	1	TD.86489	LowFiber	29.9	206	8/8/17			
M4	1	1	18.4	NA	TFSCS023	Thai	1	TD.86489	LowFiber	29.9	206	8/8/17			
M5	2	0	19.5	NA	TFSCS023	Thai	1	TD.86489	LowFiber	29.9	206	8/8/17			
M6	0	0	20.1	NA	IMP.263	US	2	TD.86489	LowFiber	37.1	214.7	8/8/17			
M7	1	0	19.1	NA	IMP.263	US	2	TD.86489	LowFiber	37.1	214.7	8/8/17			
M8	0	1	19.7	NA	IMP.263	US	2	TD.86489	LowFiber	37.1	214.7	8/8/17			
M9	1	1	20.1	NA	IMP.263	US	2	TD.86489	LowFiber	37.1	214.7	8/8/17			
M10	0	2	21.3	NA	IMP.263	US	2	TD.86489	LowFiber	37.1	214.7	8/8/17			
M1	0	0	21.8	NA	TFSCS023	Thai	1	TD.86489	LowFiber	7.4	229	8/22/17			
M2	1	0	21.5	NA	TFSCS023	Thai	1	TD.86489	LowFiber	7.4	229	8/22/17			
M3	0	1	20.8	NA	TFSCS023	Thai	1	TD.86489	LowFiber	7.4	229	8/22/17			
M4	1	1	21.1	NA	TFSCS023	Thai	1	TD.86489	LowFiber	7.4	229	8/22/17			
M5	2	0	22.4	NA	TFSCS023	Thai	1	TD.86489	LowFiber	7.4	229	8/22/17			
M6	0	0	20.9	NA	IMP.263	US	2	TD.86489	LowFiber	2	403.4	8/22/17			
M7	1	0	22.3	NA	IMP.263	US	2	TD.86489	LowFiber	2	403.4	8/22/17			
M8	0	1	19.7	NA	IMP.263	US	2	TD.86489	LowFiber	2	403.4	8/22/17			
M9	1	1	20.5	NA	IMP.263	US	2	TD.86489	LowFiber	2	403.4	8/22/17			
M10	0	2	21.6	NA	IMP.263	US	2	TD.86489	LowFiber	2	403.4	8/22/17			
M1	0	0	22.1	NA	TFSCS023	Thai	1	TD.86489	LowFiber	34.9	197.1	9/5/17	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting	
