	PD_whole_tree	chao1	observed_otus	shannon	simpson
IMP000.L.T26	43.07125	334.0	334.0	5.26156575684	0.951413936677
IMP000.L.T20	31.27744	241.0	241.0	5.45305551563	0.956890693479
CS.318	31.8037	224.0	224.0	5.26589397142	0.951080312968
T.CS.145	42.83566	291.0	291.0	4.47110744321	0.893808206037
L.007.M5	37.74695	248.0	248.0	5.26333705916	0.949292122187
CS.174	33.74571	208.0	208.0	4.96974553129	0.933067693865
CS.259	34.03428	218.0	218.0	4.56779419699	0.90400802679
CS.222	31.40596	221.0	221.0	5.04716757637	0.948741865077
CS.042	26.32471	173.0	173.0	4.89802400275	0.925838904795
CS.350	31.06255	226.0	226.0	5.08653669041	0.935348120362
CS.064	33.19163	225.0	225.0	5.52691224263	0.963229793187
CS.351	31.61961	240.0	240.0	5.26532984977	0.946848892139
CS.005	37.56232	246.0	246.0	5.4880610836	0.949535222712
CS.188	29.73456	227.0	227.0	4.93014532783	0.935503125933
CS.106	33.7058	239.0	239.0	5.65238610636	0.959381269172
IMP000.L.T17	31.7292	242.0	242.0	5.29082745518	0.950147340783
T.CS.061	35.13486	270.0	270.0	5.39304196216	0.947836125749
L.006.M1	30.34781	220.0	220.0	5.56992705412	0.96190101349
CS.297	33.96901	233.0	233.0	4.59311851034	0.896339196758
CS.296	36.01568	237.0	237.0	4.93409902211	0.928978488536
L.025.M1	26.99146	195.0	195.0	5.18365296342	0.953523198242
CS.300	34.55934	252.0	252.0	5.34400469533	0.957389418749
L.012.M1	33.31235	231.0	231.0	5.43225557189	0.963531529535
L.007.M2	38.58467	253.0	253.0	5.20722901124	0.949698171953
CS.135	27.6795	191.0	191.0	5.50982768811	0.960867583568
T.CS.007	31.91281	227.0	227.0	4.6285508249	0.931439643831
L.005.M1	33.80083	256.0	256.0	4.90004801581	0.923185188579
L.006.M5	37.66293	261.0	261.0	5.14651114488	0.920671127099
T.CS.147	33.26931	211.0	211.0	5.11447968508	0.936285990369
