#OTU ID	CS.079	CS.145	CS.146	CS.165	CS.166	CS.177	CS.178	CS.181	CS.222	CS.248	CS.249	CS.255	CS.256	CS.262	CS.268	CS.275	CS.290	CS.308.0	CS.311	CS.312	CS.325	CS.326	CS.335	CS.358	CS.360	CS.369	CS.370	CS.391	CS.393	L.002.M1	L.002.M6.0	L.003.M1	L.003.M6	L.022.M1	L.022.M6	L.024.M1	L.024.M6	L.031.M1	L.031.M6	L.034.M6	T.CS.008	T.CS.018	T.CS.030	T.CS.042	T.CS.051	T.CS.061	T.CS.065	T.CS.069	T.CS.070	T.CS.071	T.CS.073	T.CS.081	T.CS.084	T.CS.087	T.CS.089
NC 010655.1 Akkermansia muciniphila ATCC BAA-835- complete genome	83287.0709278592	365877.177079353	1869.76660119021	725.140024538738	18440.2361283907	105.881393780315	1162.79720773631	13524.1331758278	1038.90763783024	124173.155902023	180966.162144273	19711.1766015414	1573.63583655196	233.898568716183	1109241.77236119	331073.053630554	302.636292254217	4539.77189392299	4853.24004327472	2384.06301555363	0	126661.008440507	23.5818856217234	16.8279287074704	120715.626731297	28.4187791292486	4856.8427987803	2394099.2792663	950992.187830487	53.3745669654664	2967277.09496325	2120.64262784184	0	1732498.24107367	10821.0212576115	1197.96346211441	0	9798578.62964804	8528.50051637406	502495.81615724	74.8880236825886	5387.76064756198	56.207468511171	74923.3779915026	1001.51291044033	208.592683569905	705470.348307993	136.766818728575	121.891982981441	245.833883898802	522.398147053772	129.496272449798	1184.64697520139	4727.05213150659	921322.023983621
NC 008618.1 Bifidobacterium adolescentis ATCC 15703 DNA- complete genome	1138335.25507808	436625.710284215	7634.88028819336	53776.3842197928	311.227613981278	1358881.80777656	4737.32195744421	2258.20405533302	161768.85508004	112121.607160777	338247.329596865	486087.553402381	6008.42773956204	116.949284358092	37058.5177318529	337386.28067679	38489.8338966954	72129.9911299841	417513.455945051	55223.5687602786	24.1489254573384	90920.5189026109	4952.19598056192	242944.80674975	4670.85400078107	113.675116516994	117.315043448799	64234.3268242549	8534.26149370727	1174.24047324026	3322.58615154399	20255.7933762824	1670473.60642166	82643.0210399409	0	171069.182389937	57192.802754302	3043164.59425374	11754539.0945131	26660.6776738559	449.328142095532	0	188295.019512423	1224.23820247553	563.351012122688	0	198.528309640634	205.150228092862	182.837974472162	61.4584709747006	3460.88772423124	194.244408674696	39.488232506713	0	468.389437714093
NC 004663.1 Bacteroides thetaiotaomicron VPI-5482 chromosome- complete genome	2477827.21279006	113436.009594931	1714939.53901943	1199265.57818315	918173.332513767	4731283.61072494	519813.418421378	4133717.79675561	2087821.59659326	1088531.52113054	311457.6801956	1039524.38752902	3614191.90632085	548082.821144197	4250663.81393825	335467.554809797	819291.467912574	789082.197808338	1240946.51662066	586609.541627041	16858799.5424262	996116.200136882	4934132.25617568	2482523.35464086	928228.435899665	544333.295441628	881716.403552487	443366.871561895	1774413.15269884	19882.0261946362	785957.75414773	779153.351712236	477073.843073176	216551.231601984	374938.894452328	829869.222322053	512150.239353495	142585.514579833	30782.5565512876	1789453.09387022	1986554.60422803	2539450.70608946	1365279.41013634	1097345.91278894	1242689.73818575	764742.496503987	891094.317821986	1490963.47436956	971844.780311032	1028937.72105844	427191.084753222	1159768.61606039	1097851.84015163	1005461.49597194	774768.173249967
NC 004307.2 Bifidobacterium longum NCC2705 chromosome- complete genome	1684668.95821583	575558.638941235	683088.064968157	95312.4048253718	1659.88060790015	5341107.49820266	947.464391488841	585301.39998615	78656.2440536208	1611390.54239472	958506.129772646	44292.17330464	11157711.6228539	2338.98568716183	3848488.19388187	785037.404322889	46358.377495305	344952.821293625	119039.193283655	543479.674345661	910124.702636169	1353718.28442364	133355.563190846	234480.358609892	24703.6278263532	85.2563373877458	445.797165105438	11428.5277874152	10378.8425081973	32371.6748645554	2174383.44222417	4826.29011853661	13566.286261643	4684.5776632266	94.9212391018552	19886.1934710991	7593.39471596665	1611355.49800929	2684256.69898169	6447.8269374271	4942.60956305085	2049.69155070293	107581.094730381	229483.451054039	250.378227610083	1334.99317484739	5360.26436029712	3350.78705885008	975.135863851531	1044.79400656991	21614.2233343498	99906.3741950188	40080.5559943137	0	614839.201906033
NC 000913.3 Escherichia coli str. K-12 substr. MG1655- complete genome	3744.23292312854	180.573081176267	3324.02951322704	12559.425225011	2930.7266983237	502.936620456497	12833.8358483489	2082.56596214046	31331.2671829855	16881.5468748974	57964.2234954507	397.536334821003	40.8736580922588	1257.20480684949	79714.685694531	18568.3148418707	3769.19745807524	14998.7079110763	55138.1993805378	11486.8490749402	11229.2503376623	1698256.60356895	21766.0804288507	370.214431564348	2231.63024481762	28.4187791292486	164.241060828319	163.654335857974	703031.310655972	8219.68331268182	332507.809115764	13162.6094141908	114164.849882324	146547.731426975	1613.66106473154	1436278.32684436	6587135.28144298	2268841.74013094	4707687.86576496	43540.9437010527	59910.4189460709	436057.236758114	143104.214829441	565965.321004438	953502.885296101	452854.716030264	7047.75499224251	795504.201134754	355071.346424939	58877.2151937632	9599.06595211307	17287.752372048	131377.349549834	11730.0923263312	64897.9587588304
NC 000907.1 Haemophilus influenzae Rd KW20 chromosome- complete genome	0	758.406940940323	155.813883432518	377.072812760144	0	847.051150242521	0	50.1823123407339	54.6793493594861	281.359114581624	0	364.408306919252	0	350.847853074275	0	1021.25731630289	0	0	0	0	313.936030945399	0	94.3275424868938	0	129.745944466141	85.2563373877458	0	0	0	0	83.0646537885996	1243.13533356246	2557.22328893589	353.553031186913	759.369912814842	10781.6711590296	0	0	88.8385470455631	4709.08708913215	1722.42454469954	1229.81493042176	2754.16595704738	122.423820247553	1189.2965811479	1418.43024827536	595.584928921902	2325.03591838577	1157.97383832369	921.877064620509	65.2997683817215	1359.71086072287	0	7178.11619969519	1509.25485485652
NC 002695.1 Escherichia coli O157-H7 str. Sakai- complete genome	2859.76845309818	0	986.821261739278	4089.78973839849	1037.42537993759	158.822090670473	3445.32505995942	225.820405533302	4073.61152728171	46142.8947913863	9025.9033825053	0	0	175.423926537138	27262.6298279085	5694.28321817368	1072.98321799222	7350.93833592915	15705.6240289307	2730.83581781597	5530.10392973049	487960.384748424	4197.57564066677	16.8279287074704	311.390266718738	0	0	245.481503786961	194320.461273145	1974.85897772226	55860.9796728332	2193.76823569846	11095.7485079252	43045.0815470066	189.84247820371	135130.278526505	807754.094643856	272025.943759139	1210425.2034958	12171.1789380646	43435.0537359014	58386.9278871662	18267.4272661306	59130.7051795682	169380.870978221	138380.386280275	1687.49063194539	71870.963241866	39371.1105030055	21387.5478991958	3134.38888232263	4661.86580819271	9911.54635918496	2188.45006088268	12542.4282765663
NC 002662.1 Lactococcus lactis subsp. lactis Il1403 chromosome- complete genome	3331.48283711437	4117.0662508189	103.875922288345	65900.7254300806	1919.23695288455	502.936620456497	215.332816247464	1957.11018128862	109.358698718972	140.679557290812	512.107993333634	45683.5504765136	1348.83071704454	818.644990506642	2772.91006804773	2939.98318329619	0	19748.007738565	876.279452257936	0	893.51024192152	48360.5796367945	471.637712434469	17955.3999308709	674.678911223932	11310.6740934409	2041.28175600911	41159.0654682805	88170.9724926241	453.683819206464	3156.45684396679	359851.116262404	390.084908481746	0	0	32744.3346311271	538.53863233806	34022.5739778343	5863.34410500716	217.342481036869	149.776047365177	1464.06539335923	5283.50204005007	5447.86000101612	250.378227610083	169085.229301765	496.320774101585	1025.75114046431	4936.62531074837	3195.84049068443	195.899305145165	22532.3514062648	118.464697520139	13218.2383677314	1769.47120914213
NC 002128.1 Escherichia coli O157-H7 str. Sakai plasmid pO157- complete sequence	29.4821490010121	0	207.75184457669	203.039206870847	0	0	0	25.0911561703669	191.377722758201	2485.33884547101	192.040497500113	0	0	0	1140.26208405701	371.366296837414	0	209.527933565677	67.4061117121489	43.3466002827932	96.5957018293536	0	165.073199352064	0	0	0	0	0	49.1888270530679	0	789.114210991696	0	390.084908481746	1149.04735135747	189.84247820371	3434.16192472796	17071.6746451165	13763.6776546693	301917.802134346	144.894987357912	599.104189460709	0	1011.73443320108	2570.90022519862	2253.40404849075	2962.01610669265	0	10804.5786795574	426.621940435045	983.33553559521	0	0	434.370557573843	0	1977.64429257061
NC 000964.3 Bacillus subtilis subsp. subtilis str. 168 chromosome- complete genome	0	0	0	0	0	0	129.199689748478	50.1823123407339	82.0190240392292	0	64.0134991667043	0	20.4368290461294	29.2373210895229	0	0	0	576.20181730561	19143.3357262503	0	0	16.4324089829407	0	0	0	28.4187791292486	0	109.102890571983	24.5944135265339	133463.104697149	41.5323268942998	1462.51215713231	42865.997165383	5656.84849899061	2657.79469485195	1038.23500049915	0	0	1243.73965863788	10722.2290644855	0	0	56.207468511171	0	125.189113805042	0	198.528309640634	0	0	0	0	0	118.464697520139	0	0
