#Taxonomy	CS.079	CS.145	CS.146	CS.165	CS.166	CS.177	CS.178	CS.181	CS.222	CS.248	CS.249	CS.255	CS.256	CS.262	CS.268	CS.275	CS.290	CS.308.0	CS.311	CS.312	CS.325	CS.326	CS.335	CS.358	CS.360	CS.369	CS.370	CS.391	CS.393	L.002.M1	L.002.M6.0	L.003.M1	L.003.M6	L.022.M1	L.022.M6	L.024.M1	L.024.M6	L.031.M1	L.031.M6	L.034.M6	T.CS.008	T.CS.018	T.CS.030	T.CS.042	T.CS.051	T.CS.061	T.CS.065	T.CS.069	T.CS.070	T.CS.071	T.CS.073	T.CS.081	T.CS.084	T.CS.087	T.CS.089
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	6.89064715235393e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41936601542889e-06	9.49204282050357e-07	0	0	1.23718737821437e-05	6.6628791900071e-06	0	0	0	0	1.22423895185558e-06	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	3.83267372035869e-06	0.000100037559228013	1.03875976239409e-06	0	0.000945613233813117	5.82347511642318e-06	0.0484102415688625	1.75638137262208e-06	0	0	2.24047247083465e-06	0.000271318908045749	4.08736915054046e-07	1.60805360022735e-05	1.81405425577128e-06	6.18944211154055e-07	0	1.39685289043784e-06	3.03327707166083e-05	4.33465627042707e-07	0	4.50247710186394e-05	0	0	2.59491821596259e-07	2.27350233033989e-06	4.22334057323402e-06	0.000257755578976309	8.04242465084318e-05	1.68130200026901e-05	8.30647572847792e-07	0	1.73371371012133e-06	0.033200045254308	0.0185597913269306	7.90657147900007e-05	3.76974403438007e-06	0.051608498240101	0.0190851511518563	8.83859422883265e-05	2.17175431317895e-05	5.85625814385898e-07	5.62075316968323e-07	0.0082183160838065	0.000259767085945349	0	0	0	0	0	6.52997683817215e-07	3.88489068888824e-06	6.31811720107408e-06	2.4510640681886e-05	3.12257837541615e-06
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0	0	0	0	0	7.94110243148615e-07	0	0	0	0	0	1.32512287201831e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45945707976856e-07	0	0	0	0	0	0	0.000133373478484143	1.07706972410859e-06	0.00595783046821356	0.00124995613604533	6.52027443110606e-06	0	0	0	0	0	0	0.000134998982544433	0	0	0	0	0	0	0	9.31569215332484e-05
k__Bacteria	0.00443971027345243	0.0032178146307639	0.00360969017431947	0.00453066830258019	0.00427471127803286	0.00329529280565237	0.0031365364506621	0.00425495933098932	0.00454057565356895	0.00559482074627622	0.0106345626165646	0.00747833092823532	0.00702966183355701	0.00308132307141746	0.0107524178751723	0.00609629100776187	0.00221639815490906	0.00321765063312357	0.00646559859363794	0.00558000301692076	0.00327000362716598	0.00475816521757563	0.0150506846065287	0.00245553177020921	0.0088849999714559	0.00173752415596226	0.01478943479737	0.0249054623453194	0.00246732734242381	0.00193616603364312	0.00253845898262285	0.00196780866844947	0.00164789488147033	0.00583356314036614	0.00556898152278945	0.00302286596444598	0.00368250138672727	0.00237153355561467	0.00278686026920697	0.00386724721258268	0.00349802220581341	0.00573386234865233	0.00223256315899818	0.00355825051356824	0.00319044057123721	0.00536668151849052	0.00581488264518595	0.00348432770597882	0.00402072713177161	0.00568243276463936	0.0032316855372114	0.00375150944190308	0.00730097930816617	0.00646643223989614	0.00671510479633243
k__Bacteria;p__Actinobacteria	2.06374738788545e-06	5.77834277129319e-06	3.11627928718228e-06	1.74033353492197e-06	5.70583958965677e-06	7.94110243148615e-07	5.16798536426545e-06	3.76367436990446e-06	3.55415965175797e-06	6.56503984979189e-05	7.68161990000451e-06	3.31280718004577e-07	1.83931611774321e-05	4.09322734603325e-06	2.07320486373861e-06	8.04627474500272e-06	1.65074341229573e-05	6.98426445218922e-06	3.43771401454895e-05	2.55744719955197e-05	7.24467238866991e-07	2.79350769093748e-06	2.35819134270227e-07	1.68279315392627e-07	7.78475464788776e-06	0	1.17315015923167e-06	2.48209076051261e-05	4.67296845156025e-06	1.06749333350413e-06	2.07661893211948e-06	8.7750665259731e-06	1.08357106882583e-05	6.09872510129187e-05	8.54283853845321e-06	9.58372300484856e-06	1.61560458616289e-05	2.01042948959835e-05	1.02164147580109e-05	2.24587230404764e-05	7.48880797647915e-07	4.09938070070129e-06	5.62075316968323e-06	1.71393453259781e-05	5.00755828328383e-06	9.17809339294088e-06	2.97791873259779e-06	1.3677439473911e-06	8.5326936251027e-06	8.60415949653375e-06	4.57098378672051e-06	1.94244534444412e-06	1.18464697520139e-06	1.75076004870614e-06	2.0817189169441e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	2.65338949870986e-06	3.61146423205825e-07	3.11627928718228e-06	3.48066706984394e-06	0	6.88228877395467e-06	1.72266178808848e-06	5.01823249320594e-07	1.36698448144537e-06	1.35990111174261e-05	3.52074245416873e-06	6.29433364208696e-06	4.29173760806749e-06	9.35594821950458e-06	3.62810851154257e-06	2.78524895019325e-06	2.75123902049288e-07	3.31752561478988e-06	9.43686200072259e-06	4.33465627042707e-06	9.65956318489321e-07	8.70917103645215e-06	9.43276537080908e-07	3.36558630785254e-07	7.78475464788776e-07	5.68375582584972e-07	1.40778019107801e-06	2.45481503786961e-06	4.91891415953711e-07	8.00620000128099e-06	4.98388543708675e-06	2.19376663149327e-06	6.93485484048534e-06	1.76774640617156e-06	1.3288859948705e-05	8.78507942111119e-06	3.23120917232577e-06	2.39705054529034e-05	1.28815664340137e-05	7.24474936789562e-07	0	5.85625814385898e-07	2.24830126787329e-06	2.44847790371116e-06	4.38161349787335e-06	4.17186063315494e-07	9.92639577532596e-07	2.46193910530397e-05	3.65686869647258e-06	2.45833128472393e-06	6.52997683817215e-07	1.94244534444412e-06	7.8976465013426e-07	2.62614007305922e-06	3.64300810465217e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	2.94821055412207e-07	0	5.19379881197046e-07	1.45027794576831e-06	5.18712689968797e-07	2.64703414382872e-07	4.30665447022121e-07	2.50911624660297e-07	1.91377827402352e-06	3.28251992489594e-06	1.28026998333409e-06	2.31896502603204e-06	2.04368457527023e-07	4.38560072789277e-06	1.29575303983663e-06	9.28416316731083e-07	8.25371706147864e-07	1.39685289043784e-06	2.02218471444056e-06	1.73386250817083e-06	2.4148907962233e-07	2.30053574547793e-06	7.07457402810681e-07	1.68279315392627e-07	0	0	0	0	0	1.33436666688017e-06	4.15323786423896e-07	0	0	0	0	2.39593075121214e-06	6.46241834465154e-06	5.41269477968786e-06	1.33257583800142e-06	0	0	1.75687744315769e-06	5.62075316968323e-07	1.83635842778337e-06	3.12972392705239e-06	0	0	0	6.09478116078764e-07	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0	0	0	2.90055589153661e-07	0	2.64703414382872e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83873203085778e-07	1.89840856410071e-06	0	1.07706972410859e-06	0	4.44191946000474e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	8.63825692357767e-05	0.000116650294695481	6.49224851496307e-05	0.000146768128111753	1.65988060790015e-05	7.30581423696726e-05	9.34544020038002e-05	2.23311345947664e-05	0.000137245241937115	0.00093270459008829	0.000257654334145985	0.00035612677185492	6.25367480032691e-05	0.000452301621736675	0.000233753848386528	0.000126574091181004	0.000118303277881194	0.000208829507120458	0.000276365244306876	0.000177287441460467	5.79573791093593e-05	0.00012242136645579	0.000178750903776832	2.50736179935014e-05	8.95246784507093e-05	3.80811640331931e-05	9.0567192292685e-05	9.68288153826347e-05	4.47621188517877e-05	0.000346134713388715	0.000193956208259959	0.00027495208448049	0.000745063466924643	0.00022185217397453	0.000196485286384424	0.000468803783653842	0.000219183688856098	0.00216662439609791	0.0015902071666817	0.000158660011156914	4.94261326447624e-05	0.000180958376645243	0.000101735632371266	0.00012732085099298	0.000644097184187383	0.000102210585512296	6.65068516946839e-05	0.000250297142372571	0.00021697420932404	0.000328187226510645	3.46088772423124e-05	0.000134676210548126	0.000121623756120676	0.000180328285016733	0.000335677175357236
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75123902049288e-07	0	6.74061571480185e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83873203085778e-07	0	0	0	0	4.44191946000474e-07	0	0	0	0	0	0	4.17186063315494e-07	0	0	0	0	0	0	0	0	0
