#OTU ID	M34.1.30.18	M5.9.5.17	M20.11.27.17	M2.8.22.17	M14.11.27.17	M2.7.25.17	M3.8.22.17	M1.8.8.17	M1.7.25.17	M23.11.8.17	M19.11.28.17	M9.7.25.17	M8.8.8.17	M19.12.11.17	M4.8.22.17	M11.11.27.17	M24.11.8.17	M33.2.27.18	M9.8.8.17	M24.12.19.17	M6.8.8.17	M4.9.5.17	M12.11.28.17	M30.11.8.17	M20.10.31.17	M6.9.5.17	M2.9.5.17	M31.3.12.18	M29.11.22.17	M15.10.31.17	M27.11.8.17	M27.12.6.17	M35.3.27.18	M15.12.11.17	M30.12.19.17	M2.9.19.17	M5.7.11.17	M22.12.6.17	M4.7.25.17	M2.8.8.17	M8.8.22.17	M29.12.6.17	M18.11.28.17	M38.3.13.18	M8.7.25.17	M36.3.13.18	M1.8.22.17	M38.3.27.18	M24.12.6.17	M9.9.19.17	M23.12.19.17	M34.3.12.18	M22.12.19.17	M17.11.27.17	M27.12.19.17	M30.11.22.17	M8.9.19.17	M32.2.13.18	M29.11.8.17	M7.8.8.17	M3.8.8.17	M21.11.8.17	M10.7.11.17	M1.7.11.17	M9.7.11.17	M10.8.22.17	M32.3.12.18	M3.7.11.17	M31.1.30.18	M9.9.5.17	M33.1.30.18	M31.2.13.18	M33.2.13.18	M10.9.5.17	M3.9.5.17	M35.4.9.18	M10.7.25.17	M19.11.14.17	M32.2.27.18	M33.3.12.18	M29.12.19.17	M12.12.11.17	M22.11.8.17	M18.12.11.17	CS.283	M37.3.27.18	M31.2.27.18	M5.8.22.17	TFS.023	M22.11.22.17	M34.2.13.18	M16.11.27.17	M10.8.8.17	M7.7.11.17	M12.11.14.17	M18.10.31.17	M35.3.13.18	TFS.026	M8.9.5.17	M16.10.31.17	M30.12.6.17	M6.8.22.17	M12.10.31.17	M8.7.11.17	M1.9.5.17	M17.10.31.17	M13.11.14.17	M17.11.14.17	M7.8.22.17	M13.10.31.17	M21.12.6.17	M23.12.6.17	M38.2.27.18	M9.8.22.17	M21.11.22.17	M37.4.9.18	CS.224	M16.11.14.17	M2.7.11.17	M1.9.19.17	M7.7.25.17	M27.11.22.17	M34.2.27.18	M15.11.14.17	M23.11.22.17	M38.4.9.18	M21.12.19.17	M35.2.27.18	M24.11.22.17	M37.3.13.18	M32.1.30.18	M11.10.31.17	M19.10.31.17	M7.9.5.17	M18.11.14.17	M6.7.11.17	M3.7.25.17	M13.11.27.17	M15.11.28.17	M14.11.14.17	M11.11.14.17	M4.8.8.17	M5.7.25.17	M14.10.31.17	M36.4.9.18	M37.2.27.18	M20.11.14.17	M4.7.11.17	M36.2.27.18	M36.3.27.18	M5.8.8.17
NR 144616.1 Muribaculum intestinale strain YL27 16S ribosomal RNA  partial sequence	760457.461878177	0	0	124.705383531407	699.251800573387	0	0	0	0	555.160774560313	0	170.330185063746	125.448478309958	98.3535613824577	163.307966162589	165.461555007694	195.03061980731	638350.365532197	0	0	0	0	333.227811193122	10795.9419089592	0	0	0	696902.180898924	6887.24207278437	149.51258895999	33411.8805613196	1115.94688092847	0	0	7636.34902134159	0	0	360.503262554526	0	0	139.542023080251	11259.6958492035	0	0	0	0	0	0	132.957506780833	0	377.372731046455	729637.879170589	285.494047449111	0	13885.1157596064	5534.60859939811	99.677046369762	431601.533645221	4993.94484187922	493.66260629173	0	0	327.670101741567	253.671900763552	0	0	631145.09288573	203.016830095215	710428.166492615	0	749634.841607639	747450.877423308	721510.781687643	0	0	1838.9959082341	0	0	372271.77560444	678799.378989132	7209.68445055498	0	0	274.025155509276	446432.754016958	1101.71255095421	686827.908970741	120.586532896006	0	0	549142.041191704	452.878039943843	306.166187006307	295.194237808478	0	132.201686893525	0	9632.05548063957	0	0	7723.93173040987	0	0	0	123.914201806669	0	119.836542955409	0	1058.4250635055	121.568722798998	0	0	0	0	0	0	0	0	174.067433723825	0	0	4247.76992079158	92394.8370322221	0	794.239118924071	191.894381332515	0	572.584647096996	0	0	791586.05953859	250.99141609357	193.760899050572	0	113.349126644979	0	710.479573712256	0	110.0727580931	0	203.50641553975	0	0	132.175476162153	0	0	0	952.925481227368	0	0	0
NR 040954.1 Lactococcus lactis subsp. cremoris strain NCDO 607 16S ribosomal RNA gene  partial sequence	416.631947337722	577894.498756	133.908246069793	2036563.61845141	2797.00720229355	1148518.4845427	2104362.48136384	1989281.76151919	2109341.99408534	75834.9618049387	222.160510969175	2211737.45305274	1796547.65787691	0	3164581.76829866	661.846220030776	83278.0746577213	0	2033770.57974532	128235.92207099	2761662.56898353	1603743.91425229	666.455622386244	87106.9833476293	135.94714375051	1244535.65354286	1503179.3422522	428.467372209606	48210.6945094906	149.51258895999	100235.641683959	30130.5657850686	158.853711616972	344.649319317594	133167.20924936	1286366.48464775	163378.331602631	178989.869858322	3531092.99317067	2129459.31830052	2217462.28876826	106758.597681337	114.230883461653	968.101069751682	1073598.91964889	396.959291824623	2285437.69879685	5161.73434273916	101845.450194118	1214805.39224051	83871.0894750745	459.252795701394	164016.330259514	113.422407730871	100365.238914546	116572.693624823	1463857.10298632	0	61800.0674182554	2466585.21233663	2479763.58730567	76490.4386951631	71923.5873322739	849039.85185561	1860319.44879424	1790782.56901666	119.467176393286	743650.648638772	447.560793674474	1324971.04488232	628.229492233513	583.490146310154	244.621387247887	1439177.24978707	1026259.2898431	919.497954117052	1872821.39176153	0	573.608282903605	246.432884004041	172026.424331847	0	135551.903082236	548.050311018551	0	489.650022646314	0	1876085.27879606	1344.23056242607	102799.717262362	0	226.439019971922	3098554.89559733	325894.43854056	981.59509202454	661.008434467624	910.943851698341	1123.73980607462	1922258.2234945	143.453499548121	54814.9993771023	1829480.48719861	0	651356.298885006	1029603.10281161	425.948800954125	239.673085910818	278.80781777121	736663.844199831	243.137445597997	104356.046832958	119071.850193365	448.846464586014	1416607.72386476	98847.2461992538	342.237204606513	0	612.46738611169	199307.211613779	974831.61999291	76667.5185279836	103445.691012219	0	195.051542370071	244360.902255639	383.788762665029	130959.481238024	190.861549032332	127498.378633335	372.939509211606	288.741951318107	376.487124140354	0	1323357.18932986	0	8312.35453379566	9236.23445825933	274.81209722852	330.218274279299	346.51235316539	101.753207769875	3801.01677198651	398663.440488536	264.350952324306	447.687693065318	403.754920763097	3469.81263011797	167714.884696017	403.502400839285	2111.48648648649	12197.105220361
NR 028961.1 Faecalibacterium prausnitzii strain ATCC 27768 16S ribosomal RNA gene  partial sequence	198837.596866928	125028.272724988	112750.743190766	14341.1191061118	2657156.84217887	263686.308085904	9204.64121345693	170870.468534592	241339.24799324	4441.2861964825	85087.4757011941	38239.126546811	12419.3993526859	654936.365245786	15514.256785446	39545.3116468389	195.03061980731	33891.2622872057	7791.24570523546	22284.4942620763	17621.7961569712	85798.0349482318	680951.032173145	44514.7741725576	154435.955300579	23333.2864793444	139480.821387059	36633.9603239213	34849.4448882889	284970.994557742	71630.3825367238	79232.2285459212	158.853711616972	591762.88126831	85205.5785539166	328081.639960612	257182.416060921	11175.6011391903	134029.302927284	133864.704680155	193823.870058468	65751.0634157191	251993.328916406	242.02526743792	204407.341476889	0	276033.743603928	0	13694.6231984258	428773.094643439	27925.5820974376	75432.2716939539	22982.2708196534	177165.800875621	75613.5108213348	95471.9983396174	91802.5597065508	47134.9678145556	60177.0353446446	49119.4293260271	205704.741102403	449.943757030371	284909.153464292	254432.916465843	261285.848507897	167008.898015058	34526.0139776596	61108.0658586597	136506.042070715	45798.2907018115	104129.038337705	32529.5756567911	28987.6343888746	22882.4224857938	110982.658959538	459.748977058526	19339.6718046114	51110.0463184795	24378.3520234032	17619.951206289	52982.7973575668	739025.946694546	184.675617278251	501603.047159729	930809.949875861	0	56268.0861705548	11335.1340922246	1038283.68641789	14136.8818955715	37755.0279532418	70875.4132512114	28320.3722980834	501535.010036604	1529325.15337423	123079.770497872	113.867981462293	1459095.87105888	20342.4664716306	5020.87248418425	46592.7494705369	78012.9639190042	897291.450718825	579464.137127642	326390.007558766	443838.650594199	656704.25539564	114032.397468425	119602.032176122	346957.134868341	26179.9141880591	64115.6116425809	0	151082.189842976	2227.54357632121	171.118602303256	947332.807037329	163528.792091821	155790.353182823	111071.72397495	24278.0475338615	50723.3702306289	30179.2181261027	641524.522855164	794.239118924071	0	52662.9696838953	572.584647096996	147.396969518307	372.939509211606	50096.7285536916	115581.547111089	349350.900988181	21687.2695727608	56107.8176892647	1065643.8512326	36944.9378330373	685243.964439315	678818.699160145	986867.181815032	61560.6907007743	566351.499025989	318585.090448208	186235.245912473	0	0	1734.90631505899	907185.058128454	0	0	58546.105057733
NR 025567.1 {Clostridium} bolteae strain 16351 16S ribosomal RNA gene  partial sequence	295183.734688776	51644.8443115277	359677.548943464	111985.434411204	409761.555136004	25991.4992508333	144940.688403448	23300.5184365352	45812.209547951	206852.904601172	178728.131074701	45137.4990418927	93584.5648192287	161693.25491276	136525.459711925	284097.489948211	390.06123961462	108555.920582774	87619.5828490414	295569.789164665	124407.770473467	30947.67829511	152951.565337643	151291.076340619	280323.010413551	151244.67621551	27349.1806641293	215947.555593642	126174.27477341	127833.263560792	109731.649843492	314697.020421828	0	196794.761330346	114813.177391048	62214.66296661	126687.43509865	85799.7764879772	33093.6550437739	25773.781138588	122517.89626446	98140.0650560205	205958.28288136	0	292185.869498496	0	122389.710966671	0	168590.118598096	56854.3195321347	283501.264198649	268088.819490689	118480.029691381	321665.948324751	167828.790485677	117783.389255941	105956.700291057	45024.4468676352	317365.194701425	63065.3979537685	54092.2523448542	160292.46344207	189557.153857496	286649.247862814	62189.6112030782	11635.8658453114	156860.402604384	103741.600178655	95628.8229151126	170475.620926412	98160.8581614864	69143.5823377533	193740.138700327	150896.863836874	63253.5094962841	459.748977058526	78169.3321443874	549432.997923654	108985.573751685	197146.307203233	134301.331276617	107805.732440836	123178.636724593	231277.231249829	6089.84869068253	0	49122.9323711193	130595.215126375	6989.99892461555	10295.3379022097	129480.384326823	442688.284045107	71336.7215724695	150253.867044515	506503.067484663	205177.01805875	227.735962924585	14608.61747897	191261.128063166	152491.070019653	200822.224990657	26577.9460410333	87881.3826670873	49925.1123315028	24906.7545631405	145674.489926311	115762.100494925	241726.378007639	13759.5258255716	43521.6027620414	87993.6004654207	410136.372888256	149.615488195338	60546.0461168482	107200.534610458	171.118602303256	36934.7017029435	179207.95717628	99740.6395237515	267044.783173815	100945.566061845	149421.553684316	259076.980221005	203926.38754791	65127.6077517738	191.894381332515	162684.161770491	381.723098064664	1179.17575614645	0	42445.0668437617	579162.692635912	224568.881999612	402515.72327044	275551.726873944	4037.42934498646	159857.904085258	208307.569699218	193287.763211483	341661.180221075	667297.53655484	129709.69734404	64523.5626224219	45864.890228267	0	0	57251.9083969466	55269.6779111873	0	2111.48648648649	213042.771182306
NR 024904.1 Enterococcus dispar strain ATCC 51266 16S ribosomal RNA gene  partial sequence	104.15798683443	32922.0175416552	267.816492139586	217610.894262305	2797.00720229355	22016.3287771764	338367.796720036	202423.2539174	301013.941698352	7994.3151536685	111.080255484588	656708.028513273	530396.166294503	0	73488.5847731652	165.461555007694	602449.58458478	389.554738933399	353543.739542488	62983.720309581	94756.7242452701	37741.0710915976	333.227811193122	2070.4546126771	407.841431251529	204095.975710892	14700.1846069695	428.467372209606	2341.66230474669	0	22274.5870408797	1115.94688092847	71007.6090927865	114.883106439198	133.971035462133	124429.32593322	273797.161647629	476044.558203252	93414.362646289	3973.93101255762	93353.6134406877	695.042953654536	0	77206.0603126966	1047203.97765637	36718.7344937777	186419.582353755	380247.763248451	51986.3851513056	38626.8091773576	14151.477414242	0	63094.1844862535	113.422407730871	301.850342600139	2594.34778096786	179319.006419202	0	1997.57793675169	209066.113764548	176538.609790569	63442.0697412823	8683.25769615152	83204.3834504452	120799.964207418	263289.984029204	119.467176393286	20504.6998396167	149.186931224825	125737.125381337	0	0	0	105894.766281479	11065.235342692	114017.746310514	316730.553207259	532.396315817494	0	0	1341.33664196372	0	314502.576224861	0	0	317538.039686134	178.628844985888	180397.453212425	268.846112485213	118165.893235809	0	226.439019971922	233604.800685812	26272.2871649545	0	0	44977.8526776056	642.137032042638	216636.782115407	143.453499548121	498.318176155475	36138.3582860093	0	34281.9104676319	8550.07992466017	1703.7952038165	119.836542955409	0	1058.4250635055	1094.11850519098	33452.112573631	215754.121717891	26182.7104341841	50360.7299476588	192404.076404745	9924.87893358887	0	244.986954444676	23673.1709864401	302493.205719012	24278.0475338615	4497.63873966168	464.295663478503	292.577313555107	20385.4707190512	49700.6447651213	40480.6923594279	34736.8019238844	170390.896763163	24054.5983441486	0	250.99141609357	193.760899050572	277597.050531338	0	949.983375290932	0	412.21814584278	110.0727580931	1039.53705949617	101.753207769875	475.127096498313	413066.02143104	0	160719.881810449	122135.863530837	1734.90631505899	375452.639603583	15736.5936327321	743243.243243243	0
NR 024570.1 Escherichia coli strain U 5 41 16S ribosomal RNA gene  partial sequence	98533.4555453712	250182.202005479	165912.316880473	117098.355135991	106985.525487728	257264.878859228	80637.8427432424	300382.516844333	721245.247148289	31644.1641499378	161621.771730075	173310.963302362	133728.077878415	1868.7176662667	75774.8962994415	165957.939672717	1860202.05172212	92973.7310254379	119678.643045994	301040.832666133	115227.553313847	194618.123262338	666.455622386244	200094.649353722	509393.94763316	47369.382792404	118171.251452925	14782.1243412314	154825.201796193	7475.62944799952	355572.749973622	32362.4595469256	1292433.79771568	459.532425756792	178985.30337741	55277.0566645779	663205.261336102	1044197.69998918	618550.497909083	135908.440629471	161589.66272693	139703.633684562	245710.630326015	878067.670264776	90847.7073230618	926701.466764583	31807.4955054626	411218.169304886	626761.686964846	104711.229697656	307653.118985622	79565.5468552665	116196.077311788	364766.463262482	158018.654351173	229340.343837559	46549.1806546788	98490.9775229519	145948.03800392	146864.62537179	327508.672748298	4161.97975253093	67008.5358061504	31708.9875954441	449196.903941658	540839.607574721	74666.9852458037	63950.3014799927	93092.6450842906	88644.2948955723	72560.5063529707	98755.7072629936	200589.537543267	44874.972986029	152436.003303055	2321732.33414556	176373.174601336	119256.774743119	18068.6609114636	27230.8336824466	169511.418128165	678.877408317606	892906.609540342	959.088044282465	936.899798566543	3700897.2836665	3036.6903647601	87907.5824811885	180395.741477578	987584.129813455	91967.3757835378	435215.796386033	173749.311126079	139626.87448341	13742.3312883436	176621.453689749	880541.100647909	200025.685481282	34288.5903929032	1623750.16138519	67771.2719571446	314728.77110461	3154.7163008698	26959.5606590115	125029.429622929	174213.059590237	6950.51949141371	374578.303175621	242379.33954276	85219.6746820978	1454.43967711439	111947.893344189	441814.536640833	351959.258735323	16149.6909283288	1960163.5893838	88248.5620841322	867866.286120264	37598.5656843461	51400.2126905353	74111.9345770509	210389.545488618	19036.1222026186	6241.64935584228	761675.315048184	2365673.93306724	253.797444259736	552162.461350536	1230175.10759979	1671141.94077721	197499.494701585	305331.057677827	542530.5173416	44675.7753198872	131371.637781531	171946.990927659	54706.9271758437	5496.2419445704	2421.60067804819	75539.6929900551	293354.498000549	475.127096498313	374467.104505127	19297.6195196743	3433316.91811792	1226001.81689714	36433.0326162387	40022.8702115495	891336.80345398	3980152.02702703	88632.2979346235
NG 041947.1 {Clostridium} cellulolyticum strain H10 16S ribosomal RNA gene  complete sequence	0	0	0	249.410767062814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.561966743039	0	0	0	0	0	0	0	114.883106439198	0	0	0	0	0	0	0	0	342.692650384958	0	0	0	0	0	0	0	0	0	0	226.844815461743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.399308105162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.423056242607	0	0	0	0	0	0	264.40337378705	0	160.534258010659	0	0	0	0	0	0	0	0	119.836542955409	139.403908885605	0	121.568722798998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR 024719.1 {Clostridium} hylemonae strain TN-272 16S ribosomal RNA gene  partial sequence	0	8670.30232967254	0	7607.02839541583	0	57894.7904881305	129.642833992351	105143.589444865	163577.313054499	43080.4761058803	0	0	3136.21195774895	0	0	0	0	0	766.352036580537	35761.9428876434	2532.47369920544	14970.6248663337	333.227811193122	0	0	843.371800458232	1367.45903320646	0	0	0	0	0	0	0	0	0	192107.995846314	1261.76141894084	464213.724841301	10559.302404796	20791.7614389573	0	0	0	0	0	0	0	1994.36260171249	0	49530.1709498472	229.626397850697	92214.5773260627	113.422407730871	301.850342600139	0	0	0	124.848621046981	987.32521258346	199023.512784273	0	27032.7833936792	3044.06280916263	4474.07274842289	14145.5624001825	0	22940.9018007593	298.373862449649	2043.89065941969	0	0	0	381.373708096564	825.763831544178	0	0	532.396315817494	286.804141451803	0	0	135.775481663521	369.351234556502	137.012577754638	0	0	0	0	1075.38444994085	7836.7497464581	0	14718.5362981749	0	14169.3234148069	490.79754601227	132.201686893525	0	963.205548063957	104.858074596034	32850.8513965198	0	4206.58138778944	0	4992.51123315028	495.656807226676	0	119.836542955409	278.80781777121	1058.4250635055	121.568722798998	0	58009.3629147161	0	57433.8661762626	0	0	37780.5345663697	14454.2303122359	13229.1249630107	2363.22816967978	53667.2629695885	0	0	0	0	0	1776.58210981815	0	11202.1696833913	0	0	0	387.521798101143	433.745391455216	0	0	710.479573712256	0	110.0727580931	0	0	475.127096498313	467795.829012559	0	0	0	0	14293.8822184105	0	0	813.140348024069
NR 024665.1 Staphylococcus caprae strain ATCC 35538 16S ribosomal RNA gene  partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422.078949867573	251.607140610651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.230883461653	0	0	0	0	0	0	0	0	0	0	0	0	0	99.677046369762	0	0	246.831303145865	385.455479892072	0	0	1014.68760305421	0	0	0	7714.63954361817	0	0	0	0	0	0	0	0	0	0	0	123.216442002021	0	0	0	274.025155509276	0	0	0	844.105730272043	0	0	242.019409956679	0	0	3837.52509151021	0	0	0	0	0	0	249.159088077738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4221.67638931532	0	381.723098064664	0	0	0	0	0	0	680.094759869875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR 024661.1 Eubacterium ruminantium strain GA195 16S ribosomal RNA gene  partial sequence	0	1759.19177703501	0	0	0	22424.0385693463	518.571335969404	1844.6243762257	6733.20659062104	0	0	85.165092531873	125.448478309958	98.3535613824577	0	0	0	0	383.176018290269	0	316.55921240068	503.214281221301	0	0	0	1405.61966743039	455.819677735488	0	0	0	0	0	0	0	0	2014.14376510608	12114.9186569747	0	1654.68275218869	340.622658219225	0	0	0	0	2455.34344116383	0	5531.7383487761	0	0	63757.504304795	0	0	0	0	0	0	0	0	124.848621046981	5430.28866920903	513.940639856097	0	2457.52576306175	10654.2198320692	10737.7745962149	0	0	0	0	605.597232420648	0	0	0	508.498277462085	0	0	694.838507950111	0	0	0	0	0	0	0	468.449899283272	0	0	361.759598688019	182008.818152489	0	0	0	0	111583.421891605	0	0	0	183330.122648173	0	0	0	0	0	130803.794308537	44609.1126504009	0	0	0	2116.85012701101	0	0	0	0	565.850898288301	0	0	281.944287808729	0	1392.5394697906	2954.03521209973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281907.566617584	0	0	0	0	0	0	5761.03237700196	0	0	0	0	219172.860682295	0	0	0
