#Taxonomy	M34.1.30.18	M5.9.5.17	M20.11.27.17	M2.8.22.17	M14.11.27.17	M2.7.25.17	M3.8.22.17	M1.8.8.17	M1.7.25.17	M23.11.8.17	M19.11.28.17	M9.7.25.17	M8.8.8.17	M19.12.11.17	M4.8.22.17	M11.11.27.17	M24.11.8.17	M33.2.27.18	M9.8.8.17	M24.12.19.17	M6.8.8.17	M4.9.5.17	M12.11.28.17	M30.11.8.17	M20.10.31.17	M6.9.5.17	M2.9.5.17	M31.3.12.18	M29.11.22.17	M15.10.31.17	M27.11.8.17	M27.12.6.17	M35.3.27.18	M15.12.11.17	M30.12.19.17	M2.9.19.17	M5.7.11.17	M22.12.6.17	M4.7.25.17	M2.8.8.17	M8.8.22.17	M29.12.6.17	M18.11.28.17	M38.3.13.18	M8.7.25.17	M36.3.13.18	M1.8.22.17	M38.3.27.18	M24.12.6.17	M9.9.19.17	M23.12.19.17	M34.3.12.18	M22.12.19.17	M17.11.27.17	M27.12.19.17	M30.11.22.17	M8.9.19.17	M32.2.13.18	M29.11.8.17	M7.8.8.17	M3.8.8.17	M21.11.8.17	M10.7.11.17	M1.7.11.17	M9.7.11.17	M10.8.22.17	M32.3.12.18	M3.7.11.17	M31.1.30.18	M9.9.5.17	M33.1.30.18	M31.2.13.18	M33.2.13.18	M10.9.5.17	M3.9.5.17	M35.4.9.18	M10.7.25.17	M19.11.14.17	M32.2.27.18	M33.3.12.18	M29.12.19.17	M12.12.11.17	M22.11.8.17	M18.12.11.17	CS.283.S145.L001.001	M37.3.27.18	M31.2.27.18	M5.8.22.17	TFS.023.S170.L001.001	M22.11.22.17	M34.2.13.18	M16.11.27.17	M10.8.8.17	M7.7.11.17	M12.11.14.17	M18.10.31.17	M35.3.13.18	TFS.026.S116.L001.001	M8.9.5.17	M16.10.31.17	M30.12.6.17	M6.8.22.17	M12.10.31.17	M8.7.11.17	M1.9.5.17	M17.10.31.17	M13.11.14.17	M17.11.14.17	M7.8.22.17	M13.10.31.17	M21.12.6.17	M23.12.6.17	M38.2.27.18	M9.8.22.17	M21.11.22.17	M37.4.9.18	CS.224.S144.L001.001	M16.11.14.17	M2.7.11.17	M1.9.19.17	M7.7.25.17	M27.11.22.17	M34.2.27.18	M15.11.14.17	M23.11.22.17	M38.4.9.18	M21.12.19.17	M35.2.27.18	M24.11.22.17	M37.3.13.18	M32.1.30.18	M11.10.31.17	M19.10.31.17	M7.9.5.17	M18.11.14.17	M6.7.11.17	M3.7.25.17	M13.11.27.17	M15.11.28.17	M14.11.14.17	M11.11.14.17	M4.8.8.17	M5.7.25.17	M14.10.31.17	M36.4.9.18	M37.2.27.18	M20.11.14.17	M4.7.11.17	M36.2.27.18	M36.3.27.18	M5.8.8.17
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0.00067272801402536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102557090113497	0	0	0	0	0	0	0	0	6.71351206194334e-05	0	0	6.01711870270921e-05	0	0	0	0	0	0	0	0	0	0	0.00363783033283433	0	0	0	0	0	0	0	0	0	0.00013576224328594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107536999448873	0	0	0	0	0.000177043375627029	0	0	0	0	0	0	0	0	0	6.65668164420037e-05	1.23914201806669e-05	0	0	0	0	0	0	0	0	2.82901437139301e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00598446887838704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	0	0	0	0	0	0	9.07476308386377e-05	0	0	0	0	0.00022142924058287	0	0	1.63286633356193e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32957506780833e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20586532896006e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7524820066707e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52834683182468e-05	0	0	0
k__Bacteria	1.0415798683443e-05	0	0	0.000137177632563476	6.99251800573386e-05	0	0.000129639472626625	2.91259308162057e-05	1.32025401687285e-05	0.0147339669568307	6.66481532907526e-05	4.25825462659365e-05	0	0	6.53146533424774e-05	3.30917634600748e-05	0	3.89554738933399e-05	0	0.00265545769949293	8.44042117701673e-05	0	4.99841716789683e-05	2.95779230382443e-05	1.35948991938225e-05	5.62263673549711e-05	1.13952322348329e-05	0	2.75482093663912e-05	7.47562944799952e-05	2.3447208609815e-05	0	0	0.0001263699653057	0	4.47567470796223e-05	3.4611657206147e-05	5.40754893831789e-05	0	0	2.79084046160501e-05	4.17019975256815e-05	2.28453937974756e-05	0	0.000245519273262951	0	0.000110633236990223	0	0.000212732010849333	1.55131357476944e-05	0.00141516109250436	0	0.000899216397139636	2.26847388419441e-05	1.50925171300069e-05	1.72956518731191e-05	0	0	4.99394484187922e-05	3.70260663507109e-05	1.28481858361599e-05	0.00786267871002576	6.55243586803394e-05	7.61015702290657e-05	0	1.14077116130504e-05	0	0	0	0.000113550340651022	0	0	3.66932080871831e-05	1.27124569365521e-05	0	0	2.3161283598337e-05	0.000212958526326998	2.86804141451803e-05	1.23216442002021e-05	1.67664269067619e-05	0.000108620385330817	3.69351234556502e-05	1.37010700535712e-05	0	0	0	6.02932664480031e-05	6.72106246555456e-05	4.60985279203417e-05	0	0	0	2.95072292711714e-05	0.000147239263803681	0	0	3.21145848387045e-05	0	0	2.49159088077738e-05	1.9121190102872e-05	4.50673757267114e-05	0.00159760359460809	2.47828403613338e-05	0	8.38855800687862e-05	4.18211726656815e-05	0.00010584250635055	0	0.00381790415242528	0.000101770812131081	0	2.82901437139301e-05	0.012780531269143	0	2.82055621368534e-05	6.12459883877606e-05	0.000261101150585737	0.00118161408483989	0.000638895987733197	0	0	5.85148920400242e-05	5.2949274594938e-05	0	0.00157352418658951	0	1.47396969518307e-05	0	0	2.50988266298551e-05	3.87521798101143e-05	0.000173498156582086	2.26700822923987e-05	0.000142487354247311	0	9.6184234029982e-05	3.30218274279299e-05	0	0.000122102606890657	0	5.76103237700196e-05	0	0	0	0	0.000762267746545974	0	0	0
k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Stenotrophobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55408270119786e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Aciditerrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25794075099063e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27704135059893e-05	0	0	0	0	0	0	0	5.69761611741647e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57002271006813e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0	0	0	0	0	4.07713947894157e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75656787384718e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51400454201363e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107536999448873	0	0	0	0	0.000236057834169371	0	0	0	0	0	0	0	0	0	9.98502246630055e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000226287663840972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118739461872759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	1.25656555502501e-05	0	0	0	0.000927549231459208	0	2.91259308162057e-05	0.000158430482024742	0	0	2.55495277595619e-05	5.01781323699132e-05	0	0	0	0	0	0	0	0	3.77382225297189e-05	0	0	0	2.81131836774856e-05	4.55809289393318e-05	0	0	0	0	0	0	0	0	4.47567470796223e-05	0	0	1.5042796756773e-05	0	0	0	0	0	0	0	0.000110633236990223	0	0	0.00118675488469862	0	0	0	0	0	0	0	0	0	3.70260663507109e-05	0	0	0.000556957048782885	2.53671900763552e-05	0	3.42231348391513e-05	0	0	0	0.000166540499621499	0	0	0	6.35622846827606e-05	0	0	1.15806417991685e-05	0	0	0	0	0	0	0	0.000281083106905275	0	0	0	0.00520210234833923	0	0	0	0	0.000472115668338743	0	0	0	0.00118823963903207	0	0	0	0	0	0	0.000272611243974672	0	0	0	0.000211685012701101	0	0	0	0	0	0	0	0.000253850059231681	0	0.00121847203606677	5.90807042419946e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303973022394262	0	0	0	0	0	0	5.76103237700196e-05	0	0	0	0	0.000381133873272987	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0	0	0	8.72948570858483e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9838523184881e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.00480168319306724	0.000427232288708502	0	0.00495086546615454	6.99251800573386e-05	0.00503526725649284	0.000401882365142539	0.00126212366870225	0.0013466590972103	0	0	0.0169734029416023	0.00105374077976818	9.83525940496681e-05	0.00099604846347278	0.000728018796121645	1.95034423575761e-05	0.00576541013621431	0.0102674124588154	0	0.00250047477369121	0.000515755707906158	4.99841716789683e-05	0.000162678576710343	0	0.0113155564301879	0.00125347554583162	0.00272059296073349	0.00012396694214876	1.4951258895999e-05	0.000257919294707965	0	0	0	0.000214353656739413	0.00373718838114846	0.00494946698047903	0	0.000165470764324503	0.000692607268970059	6.97710115401253e-05	0.000139006658418938	0	0.000217822740694128	0.0101276700220967	0.000337402004564851	0.00651353182779937	0	0	0.00570883395515152	9.43440728336242e-06	0.00499437415325266	0	0	6.03700685200278e-05	0.000207547822477429	0.00106654439615645	0.00998979914875655	0.000436970173664432	0.0101451421800948	0	0	0.00113029518723585	0.0043631566931331	0.00116169965595818	2.28154232261008e-05	0.00334496105509629	0.000344967532467532	0.00411755930180516	0.00506434519303558	0.00686340720265113	0.00605371026796785	0.0128303917611517	0.00316540177720148	4.95458298926507e-05	0	0.00518812752602749	0	0.00329824762669573	0.00765174104832549	0.000100598561440571	0	1.84675617278251e-05	0.000260320331017852	0.00178019301040007	0.00843422164008275	0.00646613318090883	0.00232732008489292	0.034371513448846	0	0.00428374355623321	4.52878039943843e-05	0.000535799029438329	0.0066096193567424	0	0	0.00493053974037805	0.0143231048380622	0.00234887013055104	0	7.47477264233213e-05	0	4.50673757267114e-05	0.0036944583125312	0.00361829469275474	0	0.00013182019725095	0	0.00444538526672312	3.64710602137204e-05	0	0.000101770812131081	0	0.00011316057485572	0	0	0.00902577988379308	1.22491976775521e-05	0.00114884506257724	0.000295403521209973	0.000127779197546639	0.000174912543728136	0.00673228712043829	3.90099280266828e-05	2.6474637297469e-05	0	0	0	0	0.000727218482537433	0.00275748563508792	0.000338834159503043	0	0.00637605725439167	0	0.0178821629580375	0	0	9.90654822837896e-05	0.000173256176582695	0.000193329127576874	0	0.00195875100818067	1.32178970325821e-05	0	0	0	0.00476417341591234	0	0	0
