
	Total CaloriesEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	3.46724292271356	0.296779571617547	11.6828894381643	3.84675575272366e-24
map00$Years.in.US	-0.0215646823314406	0.0115133726386756	-1.87301175843131	0.0625945532739362
map00$Age	0.00573347925876751	0.00849363757304222	0.675032247310019	0.500471606813746
map00$BMI	-0.0114386314222138	0.012014065490739	-0.952103301836607	0.34224789366701
map00$EthnicityKaren	-0.691686200865509	0.221911657222796	-3.11694396554871	0.00210959142324701
map00$Years.in.US:map00$Age	-6.59459203974515e-05	0.000151174595175919	-0.436223562039054	0.663167200831517
map00$Years.in.US:map00$BMI	0.00094918742890951	0.000388670362360901	2.44213997471755	0.0155106990613084
map00$Years.in.US:map00$EthnicityKaren	-0.00220904823626655	0.00797852541058661	-0.276874249637081	0.782176070108858
map00$Age:map00$BMI	-0.000325369563713787	0.000311404676230384	-1.04484482266757	0.29741524009312
map00$Age:map00$EthnicityKaren	0.00107559164994574	0.0032996745416282	0.325969011905943	0.74480465804778
map00$BMI:map00$EthnicityKaren	0.0253179391532473	0.00898130699461844	2.81895933057601	0.00532569233748766
	% of Calories from Total SugarsEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.140216948032756	0.0456318785814375	3.07278491247113	0.00243069015635782
map00$Years.in.US	-0.0044542854746143	0.00177025938627585	-2.51617673045356	0.0126870109330997
map00$Age	-0.000526575955059475	0.00130595457205951	-0.403211540680972	0.687243605875598
map00$BMI	-0.00300064326740753	0.00184724431925969	-1.62438895392575	0.105941905785908
map00$EthnicityKaren	-0.0686869578901804	0.0341204273023404	-2.0130743756972	0.0455107733559188
map00$Years.in.US:map00$Age	2.53910738242009e-05	2.32441226802338e-05	1.09236533352978	0.276048473849813
map00$Years.in.US:map00$BMI	0.000136216575014671	5.97607129317904e-05	2.27936663289386	0.0237508727035971
map00$Years.in.US:map00$EthnicityKaren	-0.000766834887330523	0.00122675257198625	-0.625093360178519	0.532655873491067
map00$Age:map00$BMI	6.5921604666652e-06	4.78805879326115e-05	0.137679187982052	0.890639000441044
map00$Age:map00$EthnicityKaren	0.000599474884588652	0.000507347413506867	1.18158655908973	0.238838865048284
map00$BMI:map00$EthnicityKaren	0.00161195544285303	0.00138093706398764	1.16729102642687	0.244548056376415
	% of Calories from Added SugarsEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	1.34929979272624	0.594596148646427	2.26927099308978	0.0243695304329299
map00$Years.in.US	0.00597664045626385	0.023066975235444	0.259099443913233	0.795837545303736
map00$Age	-0.00195102156582118	0.0170169535638985	-0.114651635999071	0.908841685672248
map00$BMI	-0.0499289230820615	0.024070110457552	-2.07431217110997	0.0393911690447508
map00$EthnicityKaren	-0.372952403811912	0.44459871683641	-0.838851732334487	0.40260113905771
map00$Years.in.US:map00$Age	-0.000738616409079588	0.000302877423721807	-2.43866446037261	0.0156559914322134
map00$Years.in.US:map00$BMI	0.00125544585597648	0.000778698814386788	1.61223547895745	0.108561827906123
map00$Years.in.US:map00$EthnicityKaren	-0.00772822226336423	0.0159849293371376	-0.483469279117134	0.629316345244954
map00$Age:map00$BMI	0.000231409636736237	0.000623897460825521	0.37090972678434	0.711115826642791
map00$Age:map00$EthnicityKaren	0.00122122222020126	0.00661087878638474	0.184729180440639	0.853637455519444
map00$BMI:map00$EthnicityKaren	0.0135252894939048	0.0179939964186389	0.751655673327505	0.453183351299874
	Fruits in CupsEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	1.0858830805704	0.370924459578673	2.92750465095733	0.00383204718461009
map00$Years.in.US	-0.0369451510176027	0.014389775888726	-2.56745840263907	0.0110097097024745
map00$Age	-0.00867529399081875	0.0106156158574748	-0.817220037658977	0.414820893239944
map00$BMI	-0.0236929949422168	0.0150155575911332	-1.57789644496503	0.116244152443235
map00$EthnicityKaren	-0.685766119826099	0.277352181219695	-2.47254633733308	0.0142897218094315
map00$Years.in.US:map00$Age	0.000348688167650347	0.000188942772280547	1.84546973372766	0.0665172804474779
map00$Years.in.US:map00$BMI	0.000837588666261297	0.000485772465157235	1.72424072243408	0.086282308261342
map00$Years.in.US:map00$EthnicityKaren	-0.00679090953031591	0.00997181244661373	-0.681010555169637	0.496689602201962
map00$Age:map00$BMI	0.000176954444079806	0.000389203376133579	0.454658039808661	0.649871580359016
map00$Age:map00$EthnicityKaren	0.00395071753889757	0.00412403720872067	0.957973301148544	0.339287244609449
map00$BMI:map00$EthnicityKaren	0.0174604820475451	0.0112251204661151	1.55548282089733	0.121486530147456
	Vegetables in CupsEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.479184229880861	0.330711486645626	1.44894945966703	0.14899147706377
map00$Years.in.US	-0.0181395907892184	0.0128297394624865	-1.41387054992486	0.15902776535923
map00$Age	0.00830547654715018	0.00946474682708203	0.877517032297709	0.381308315881497
map00$BMI	-0.0101002074560928	0.0133876783952649	-0.754440550324632	0.45151389104838
map00$EthnicityKaren	-0.339994965226414	0.24728364443736	-1.37491893570235	0.170767303021517
map00$Years.in.US:map00$Age	-4.4621697335254e-05	0.000168458950328652	-0.264881724884312	0.791386212010069
map00$Years.in.US:map00$BMI	0.000662955059168809	0.000433108494128805	1.53069050400948	0.127500444688278
map00$Years.in.US:map00$EthnicityKaren	-0.00330979155492456	0.00889073997038884	-0.372274025103425	0.710101562592146
map00$Age:map00$BMI	-0.000169155250644884	0.000347008734001627	-0.487466838930029	0.626486562851663
map00$Age:map00$EthnicityKaren	-0.00442297410322495	0.003676938635503	-1.20289581678588	0.230505608518843
map00$BMI:map00$EthnicityKaren	0.0208589735765922	0.0100081733120051	2.0841938809724	0.0384727834648609
	Dietary Fiber in GramsEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	1.20776361028975	0.413871478924341	2.91820932775738	0.00394304826154106
map00$Years.in.US	-0.0425959622701414	0.0160558778874319	-2.65298245096173	0.00864990484071873
map00$Age	0.0117758358448629	0.0118447315111445	0.994183433688064	0.321391400638763
map00$BMI	-0.00368492488801451	0.0167541149326601	-0.219941483201312	0.82615162104074
map00$EthnicityKaren	-0.687449218217918	0.309465052681274	-2.22141147202796	0.0274976498821356
map00$Years.in.US:map00$Age	0.000153248008683501	0.000210819272162959	0.726916505835592	0.468167091601716
map00$Years.in.US:map00$BMI	0.00130561328608389	0.000542017015550051	2.40880497959815	0.0169548014811729
map00$Years.in.US:map00$EthnicityKaren	-0.00569442585276642	0.0111263861367461	-0.511794735755213	0.609385887637546
map00$Age:map00$BMI	-0.000506149414180885	0.000434266796710358	-1.16552639532898	0.245259434773637
map00$Age:map00$EthnicityKaren	-0.000561344489559623	0.00460153364016756	-0.121990739056986	0.90303460590784
map00$BMI:map00$EthnicityKaren	0.0259176206876746	0.012524806839894	2.0693030255063	0.0398638302171922
	Vitamin K in MicrogramsEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	2.5182284906907	0.861101600540751	2.92442667521383	0.0038684822321462
map00$Years.in.US	-0.0650413998884996	0.0334058828670384	-1.94700436888246	0.053000593328249
map00$Age	0.0167339165585795	0.0246441655963604	0.679021429763921	0.497946258181837
map00$BMI	-0.0373708183648573	0.0348586358781072	-1.07206772220045	0.285042326445863
map00$EthnicityKaren	-1.22385787180242	0.643873438362705	-1.90077397029228	0.0588375259336631
map00$Years.in.US:map00$Age	-0.000175908968390102	0.000438630884051682	-0.401041000043616	0.688838223813841
map00$Years.in.US:map00$BMI	0.00257140183517804	0.00112772139028163	2.28017474647341	0.023701950588711
map00$Years.in.US:map00$EthnicityKaren	-0.00393641036829096	0.0231495751663959	-0.170042445271526	0.865156731376178
map00$Age:map00$BMI	-0.000325738654387478	0.000903536128367413	-0.36051536198785	0.718860150970918
map00$Age:map00$EthnicityKaren	-0.0104129476062481	0.00957395757926763	-1.08763251978443	0.278127938379226
map00$BMI:map00$EthnicityKaren	0.0572257533749875	0.0260591313137286	2.19599620133306	0.0292965652572207
	Folate in Micrograms DFEEstimate	Std. Error	t value	Pr(>|t|)
(Intercept)	2.5300177119775	0.410953920644836	6.15645108825727	4.29371397438918e-09
map00$Years.in.US	-0.0291004618278003	0.015942693090096	-1.8253165674925	0.0695151621477127
map00$Age	0.00752005249415842	0.0117612328980517	0.639393213223771	0.523333272462156
map00$BMI	0.00822277146983725	0.016636007961712	0.494275519028486	0.621679602841024
map00$EthnicityKaren	-0.354206426537432	0.307283500260667	-1.152702394489	0.250473159109579
map00$Years.in.US:map00$Age	0.000237835487535876	0.000209333116328842	1.13615796538499	0.257314000780887
map00$Years.in.US:map00$BMI	0.000723012630797281	0.000538196104199841	1.34339997104255	0.180736427735211
map00$Years.in.US:map00$EthnicityKaren	-0.00357001696529645	0.0110479514495369	-0.323138364755042	0.746943952571615
map00$Age:map00$BMI	-0.000498381667204551	0.000431205463052989	-1.15578699693632	0.249212015118228
