Blinded.Mouse.Letter	Fecal.Pellet.Number	Fecal.Pellet.Section	Initials	Measurement.Number	Measurement	Mouse.ID	Reembedded
A	1	1	PV	1	18.179	M19	Yes
A	1	1	PV	2	28.767	M19	Yes
A	1	1	PV	3	33.363	M19	Yes
A	1	1	PV	4	31.946	M19	Yes
A	1	1	PV	5	20.568	M19	Yes
A	1	6	PV	1	23.943	M19	Yes
A	1	6	PV	2	27.183	M19	Yes
A	1	6	PV	3	25.227	M19	Yes
A	1	6	PV	4	36.441	M19	Yes
A	1	6	PV	5	32.188	M19	Yes
A	2	1	PV	1	55.237	M19	Yes
A	2	1	PV	2	51.88	M19	Yes
A	2	1	PV	3	49.56	M19	Yes
A	2	1	PV	4	64.387	M19	Yes
A	2	1	PV	5	62.258	M19	Yes
A	2	2	PV	1	61.359	M19	Yes
A	2	2	PV	2	69.024	M19	Yes
A	2	2	PV	3	43.631	M19	Yes
A	2	2	PV	4	66.788	M19	Yes
A	2	2	PV	5	32.52	M19	Yes
A	2	1	MA	5	72.363	M19	Yes
A	2	2	MA	1	38.758	M19	Yes
A	2	2	MA	2	72.96	M19	Yes
A	2	2	MA	3	51.629	M19	Yes
A	2	2	MA	4	57.14	M19	Yes
A	2	2	MA	5	50.959	M19	Yes
A	1	1	NS	3	24.767	M19	Yes
A	1	1	NS	4	29.815	M19	Yes
A	1	1	NS	5	36.103	M19	Yes
A	1	6	NS	1	15.734	M19	Yes
A	1	6	NS	2	11.011	M19	Yes
A	1	6	NS	3	16.251	M19	Yes
A	1	6	NS	4	15.945	M19	Yes
A	1	6	NS	5	16.55	M19	Yes
A	2	1	NS	1	35.188	M19	Yes
A	2	1	NS	2	26.077	M19	Yes
A	2	1	NS	3	37.863	M19	Yes
A	2	1	NS	4	50.695	M19	Yes
A	2	1	NS	5	53.053	M19	Yes
A	2	2	NS	1	41.28	M19	Yes
A	2	2	NS	2	37.761	M19	Yes
A	2	2	NS	3	54.003	M19	Yes
A	2	2	NS	4	36.486	M19	Yes
A	2	2	NS	5	49.02	M19	Yes
A	2	1	MA	1	44.679	M19	Yes
A	2	1	MA	2	51.629	M19	Yes
A	2	1	MA	3	63.021	M19	Yes
A	1	1	MA	1	22.951	M19	Yes
A	1	1	MA	2	40.926	M19	Yes
A	1	1	MA	3	19.672	M19	Yes
A	1	1	MA	4	22.424	M19	Yes
A	1	1	MA	5	20.329	M19	Yes
A	1	6	MA	1	21.69	M19	Yes
A	1	6	MA	2	21.796	M19	Yes
A	1	6	MA	3	23.97	M19	Yes
A	1	6	MA	4	17.55	M19	Yes
A	1	6	MA	5	26.948	M19	Yes
A	1	1	NS	2	27.975	M19	Yes
A	2	1	MA	4	66.207	M19	Yes
A	1	1	NS	1	22.604	M19	Yes
AA	1	7	NS	1	10.341	M13	Yes
AA	1	7	NS	2	20.817	M13	Yes
AA	1	7	NS	3	9.163	M13	Yes
AA	1	7	PV	3	14.376	M13	Yes
AA	1	7	PV	4	10.412	M13	Yes
AA	1	7	PV	5	5.901	M13	Yes
AA	1	2	NS	5	15.012	M13	Yes
AA	1	2	NS	1	13.23	M13	Yes
AA	1	2	NS	2	11.058	M13	Yes
AA	1	2	NS	3	23.889	M13	Yes
AA	1	2	NS	4	15.758	M13	Yes
AA	1	2	PV	1	19.771	M13	Yes
AA	1	2	PV	2	13.704	M13	Yes
AA	1	2	PV	3	15.935	M13	Yes
AA	1	2	PV	4	17.847	M13	Yes
AA	1	2	PV	5	7.852	M13	Yes
AA	1	7	PV	1	16.262	M13	Yes
AA	1	7	PV	2	11.061	M13	Yes
AA	1	2	MA	1	51.024	M13	Yes
AA	1	2	MA	2	22.696	M13	Yes
AA	1	2	MA	3	50.907	M13	Yes
AA	2	1	PV	1	29.515	M13	Yes
AA	2	1	PV	2	29.184	M13	Yes
AA	2	1	PV	3	28.766	M13	Yes
