#Taxonomy	M5.8.22.17	M12.10.31.17	M36.3.13.18	M8.9.5.17	M20.10.31.17	M17.11.27.17	M18.11.14.17	M9.8.8.17	M11.10.31.17	M35.3.13.18	M19.12.11.17	M35.2.27.18	M21.12.19.17	M1.9.5.17	M21.11.8.17	M2.8.8.17	M6.9.5.17	M12.11.28.17	M17.11.14.17	M19.11.28.17	M4.9.5.17	M12.11.14.17	M11.11.14.17	M27.11.8.17	M30.11.8.17	M23.11.8.17	M11.11.27.17	M38.2.27.18	M2.7.25.17	M33.2.27.18	M5.7.25.17	M20.11.27.17	M12.12.11.17	M2.8.22.17	M19.10.31.17	M37.2.27.18	M14.11.27.17	M9.9.5.17	M17.10.31.17	M9.7.25.17	M18.11.28.17	M13.11.27.17	M2.9.5.17	M8.8.8.17	M24.12.19.17	M13.11.14.17	M21.11.22.17	M1.8.8.17	M8.8.22.17	M6.8.8.17	M10.7.25.17	M8.9.19.17	M22.12.19.17	M23.12.6.17	M7.8.8.17	M10.8.22.17	M1.7.25.17	M15.11.28.17	M23.11.22.17	M15.11.14.17	M3.7.11.17	M22.11.22.17	M37.4.9.18	M10.8.8.17	M27.11.22.17	M31.2.13.18	M15.10.31.17	M23.12.19.17	M36.2.27.18	M31.2.27.18	M22.11.8.17	M30.12.19.17	M5.9.5.17	M29.11.22.17	M33.3.12.18	M32.2.27.18	M14.11.14.17	M34.2.13.18	M10.9.5.17	M14.10.31.17	M18.12.11.17	M32.2.13.18	M16.11.14.17	M30.12.6.17	M27.12.19.17	M34.1.30.18	M31.1.30.18	M29.12.6.17	M13.10.31.17	M29.11.8.17	M32.1.30.18	M21.12.6.17	M33.1.30.18	M32.3.12.18	M2.7.11.17	M30.11.22.17	M34.3.12.18	M29.12.19.17	M33.2.13.18	M22.12.6.17	M15.12.11.17	M1.8.22.17	M9.8.22.17	M3.8.22.17	M3.8.8.17	M4.8.22.17	M3.7.25.17	M34.2.27.18	M18.10.31.17	M27.12.6.17	M9.9.19.17	M3.9.5.17	M24.12.6.17	M24.11.22.17	M6.8.22.17	M31.3.12.18	M16.10.31.17	M6.7.25.17	M1.7.11.17	M7.9.5.17	M2.9.19.17	M10.7.11.17	M38.3.13.18	M4.7.25.17	M4.8.8.17	M37.3.13.18	M5.8.8.17	M7.7.25.17	M8.7.11.17	M19.11.14.17	M4.7.11.17	M16.11.27.17	M35.3.27.18	M7.8.22.17	M9.7.11.17	M5.7.11.17	M8.7.25.17	M7.7.11.17	M20.11.14.17	M1.9.19.17	M6.7.11.17	M37.3.27.18	M38.4.9.18	M24.11.8.17	M35.4.9.18	M38.3.27.18	M36.3.27.18	M36.4.9.18
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23914201806669e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067272801402536	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102559427490485	0	0	0	0	0	0	0	0	0	0	0	0.00013576224328594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82901437139301e-05	0	0	0	0	0	0	0	0.00363802786310466	0	0	0	0	0	0	0	0	0	6.71351206194334e-05	0	0	6.01711870270921e-05	0	0	0	0	6.65668164420037e-05	0	0	0	0	0	0	0	0	0.000177043375627029	0	0	0.00598532171104197	0	0	0	0	0	0	0
k__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	1.20586532896006e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022142924058287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7524820066707e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07476308386377e-05	0	1.63286633356193e-05	0	0	0	0	0	0	1.32957506780833e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52834683182468e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	6.02932664480031e-05	4.50673757267114e-05	0	0	1.35948991938225e-05	2.26847388419441e-05	2.26700822923987e-05	0	2.50988266298551e-05	0	0	0	0.00157354415441036	2.47828403613338e-05	0.00786267871002576	0	5.62263673549711e-05	4.99841716789683e-05	4.18211726656815e-05	6.66481532907526e-05	0	0.000147239263803681	0.000122102606890657	2.3447208609815e-05	2.95779230382443e-05	0.0147339669568307	3.30917634600748e-05	0	0	3.89554738933399e-05	5.76103237700196e-05	0	0.000108620385330817	0.000137177632563476	3.87521798101143e-05	0	6.99251800573386e-05	0.000113550340651022	0	4.25825462659365e-05	2.28453937974756e-05	9.6184234029982e-05	1.13954919433872e-05	0	0.00265545769949293	8.38855800687862e-05	0.012780531269143	2.91259308162057e-05	2.79084046160501e-05	8.44042117701673e-05	2.3161283598337e-05	0	0.000899216397139636	0.000101770812131081	3.70260663507109e-05	1.14077116130504e-05	1.32025401687285e-05	3.30218274279299e-05	5.2949274594938e-05	5.85148920400242e-05	0	4.60985279203417e-05	0	0	0	0	7.47562944799952e-05	0.00141516109250436	0	0	3.69351234556502e-05	0	0	2.75482093663912e-05	1.23216442002021e-05	2.86804141451803e-05	0	0	1.27124569365521e-05	0	1.37010700535712e-05	0	6.12459883877606e-05	2.49165296257537e-05	1.50925171300069e-05	1.0415798683443e-05	0	4.17019975256815e-05	0	4.99394484187922e-05	0	0.00381790415242528	0	0	0.000261101150585737	1.72956518731191e-05	0	1.67664269067619e-05	3.66932080871831e-05	5.40754893831789e-05	0.0001263699653057	0.000110633236990223	2.82901437139301e-05	0.000129639472626625	1.28481858361599e-05	6.53146533424774e-05	0	0	0	0	1.55139780942629e-05	0	0.000212732010849333	1.47396969518307e-05	1.9121190102872e-05	0	0	0.00277606415792721	7.61015702290657e-05	0.000173498156582086	4.47567470796223e-05	6.55243586803394e-05	0	0	0	0	0	0.000638895987733197	0.00159760359460809	0.000212958526326998	0.000762267746545974	0	0	0.00010584250635055	0	3.4611657206147e-05	0.000245519273262951	2.95072292711714e-05	0	0.00118168389955687	0.000142507659786714	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Stenotrophobacter	0	0	0	0	0	0	0	2.55408270119786e-05	0	0	0	5.72540936676972e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Aciditerrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25794075099063e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter	0	0	0	0	0	0	0	1.27704135059893e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57002271006813e-06	0	0	0	0	5.6977459716936e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07713947894157e-05	0	0	0	0	0	0	0	0	1.51400454201363e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000226287663840972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75698904713146e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.98502246630055e-05	0	0	0	0	0	0	0	0	0.000236057834169371	0	0	0.000118756383155595	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272611243974672	0	0	2.81131836774856e-05	0	0	0	3.77382225297189e-05	0	0	0	0	0	0	0	0.000927549231459208	0	5.76103237700196e-05	0	0	0	0	0	0	0.000166540499621499	0	2.55495277595619e-05	0	0	4.55819677735488e-05	5.01781323699132e-05	0	0	0	2.91259308162057e-05	0	0	1.15806417991685e-05	0	0	0	3.70260663507109e-05	3.42231348391513e-05	0.000158430482024742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25656555502501e-05	0	0	0	0	0	6.35622846827606e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121847203606677	0	0	0	0	0	0	0.000110633236990223	0	0	0	0	0	0	0	0	0.00117130534611685	0	0	0	0	0	0	0	2.53671900763552e-05	0	4.47567470796223e-05	0.000556957048782885	0	1.5042796756773e-05	0	0	0	0	0	0	0.000381133873272987	0	0	0.000211685012701101	0	0	0	0.000472115668338743	0	5.90841949778434e-05	0.0030164121321521	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.72948570858483e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9838523184881e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.00232732008489292	4.50673757267114e-05	0.000337402004564851	0.00234909182432149	0	0	0	0.0102674124588154	0.000338834159503043	0.00493053974037805	9.83525940496681e-05	0	0	0.00361829469275474	0	0.000692622997354407	0.0113155564301879	4.99841716789683e-05	0	0	0.000515755707906158	0	0.000193329127576874	0.000257919294707965	0.000162678576710343	0	0.000728018796121645	0	0.00503526725649284	0.00576541013621431	0.00195875100818067	0	0	0.00495086546615454	0	0	6.99251800573386e-05	0.00506434519303558	0	0.0169734029416023	0	0	0.00125350411377259	0.00105374077976818	0	0.00013182019725095	0	0.00126212366870225	6.97710115401253e-05	0.00250047477369121	0.00518812752602749	0.00106654439615645	0	0.000101770812131081	0.0101451421800948	2.28154232261008e-05	0.0013466590972103	9.90654822837896e-05	2.6474637297469e-05	3.90099280266828e-05	0.000344967532467532	0	0	0.000535799029438329	0.000174912543728136	0.00605371026796785	1.4951258895999e-05	9.43440728336242e-06	0	0.00646613318090883	1.84675617278251e-05	0.000214353656739413	0.000427232288708502	0.00012396694214876	0.00765174104832549	0.00329824762669573	0.000173256176582695	0.00428374355623321	0.00316540177720148	1.32178970325821e-05	0.000260320331017852	0.00998979914875655	1.22491976775521e-05	7.47495888772612e-05	6.03700685200278e-05	0.00480168319306724	0.00411755930180516	0.000139006658418938	3.64710602137204e-05	0.000436970173664432	0.00275748563508792	0	0.00686340720265113	0.00334496105509629	0.00114884506257724	0.000207547822477429	0.00499437415325266	0.000100598561440571	0.0128303917611517	0	0	0.00651353182779937	0.00011316057485572	0.000401882365142539	0	0.00099604846347278	0	0.00673228712043829	0	0	0.00570914393868876	4.95458298926507e-05	0	0	0	0.00272059296073349	0	0.000308451573103023	0.0043631566931331	0.00637605725439167	0.00373718838114846	0.00113029518723585	0.000217822740694128	0.000165470764324503	0	0.000727218482537433	0	0.000127779197546639	0.0036944583125312	0	0.00476417341591234	4.52878039943843e-05	0	0.00444538526672312	0.00116175156389634	0.00494946698047903	0.0101276700220967	0.0066096193567424	0	0.000295420974889217	0.0178847113032325	0.00843432488676705	0	1.95034423575761e-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11080255484588e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.70931045802943e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.90841949778434e-05	9.50051065244757e-05	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0	0	0	2.09740341457276e-05	2.7189798387645e-05	0	0	0	0	0	9.83525940496681e-06	0	0	1.23914201806669e-05	0	0	0	0	1.39403908885605e-05	0	1.25794075099063e-05	0	0	0	0	0	0	0	0.000152892730460309	1.29851579644466e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.13954919433872e-05	0	0	0	0	1.94172872108038e-05	6.97710115401253e-05	0	0	0	7.13663807253679e-05	0	0	0	5.28101606749139e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54249138731043e-05	0	0	0	0	0	0	0	0	0	0	0	1.44370975659054e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63286633356193e-05	0	0	0	0	6.20559123770517e-05	0	0	0	0	6.42659754503974e-05	0	0	0	0	4.47567470796223e-05	0.0005405759591128	0	0.000135385170810957	0	0	0	0	3.32834082210018e-05	0	0	0	1.58851188206888e-05	0.00010584250635055	0	0.000207669943236882	0	0.000147536146355857	0	0	0.000142507659786714	0	0.000210954280454127	1.95034423575761e-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93680884676145e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37741046831956e-05	0	0	0	0	0	0	1.37010700535712e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32709671413944e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000153421294875729	0	0	0	0	0
