#Taxonomy	M5.8.22.17	M12.10.31.17	M36.3.13.18	M8.9.5.17	M20.10.31.17	M17.11.27.17	M18.11.14.17	M9.8.8.17	M11.10.31.17	M35.3.13.18	M19.12.11.17	M35.2.27.18	M21.12.19.17	M1.9.5.17	M21.11.8.17	M2.8.8.17	M6.9.5.17	M12.11.28.17	M17.11.14.17	M19.11.28.17	M4.9.5.17	M12.11.14.17	M11.11.14.17	M27.11.8.17	M30.11.8.17	M23.11.8.17	M11.11.27.17	M38.2.27.18	M2.7.25.17	M33.2.27.18	M5.7.25.17	M20.11.27.17	M12.12.11.17	M2.8.22.17	M19.10.31.17	M37.2.27.18	M14.11.27.17	M9.9.5.17	M17.10.31.17	M9.7.25.17	M18.11.28.17	M13.11.27.17	M2.9.5.17	M8.8.8.17	M24.12.19.17	M13.11.14.17	M21.11.22.17	M1.8.8.17	M8.8.22.17	M6.8.8.17	M10.7.25.17	M8.9.19.17	M22.12.19.17	M23.12.6.17	M7.8.8.17	M10.8.22.17	M1.7.25.17	M15.11.28.17	M23.11.22.17	M15.11.14.17	M3.7.11.17	M22.11.22.17	M37.4.9.18	M10.8.8.17	M27.11.22.17	M31.2.13.18	M15.10.31.17	M23.12.19.17	M36.2.27.18	M31.2.27.18	M22.11.8.17	M30.12.19.17	M5.9.5.17	M29.11.22.17	M33.3.12.18	M32.2.27.18	M14.11.14.17	M34.2.13.18	M10.9.5.17	M14.10.31.17	M18.12.11.17	M32.2.13.18	M16.11.14.17	M30.12.6.17	M27.12.19.17	M34.1.30.18	M31.1.30.18	M29.12.6.17	M13.10.31.17	M29.11.8.17	M32.1.30.18	M21.12.6.17	M33.1.30.18	M32.3.12.18	M2.7.11.17	M30.11.22.17	M34.3.12.18	M29.12.19.17	M33.2.13.18	M22.12.6.17	M15.12.11.17	M1.8.22.17	M9.8.22.17	M3.8.22.17	M3.8.8.17	M4.8.22.17	M3.7.25.17	M34.2.27.18	M18.10.31.17	M27.12.6.17	M9.9.19.17	M3.9.5.17	M24.12.6.17	M24.11.22.17	M6.8.22.17	M31.3.12.18	M16.10.31.17	M6.7.25.17	M1.7.11.17	M7.9.5.17	M2.9.19.17	M10.7.11.17	M38.3.13.18	M4.7.25.17	M4.8.8.17	M37.3.13.18	M5.8.8.17	M7.7.25.17	M8.7.11.17	M19.11.14.17	M4.7.11.17	M16.11.27.17	M35.3.27.18	M7.8.22.17	M9.7.11.17	M5.7.11.17	M8.7.25.17	M7.7.11.17	M20.11.14.17	M1.9.19.17	M6.7.11.17	M37.3.27.18	M38.4.9.18	M24.11.8.17	M35.4.9.18	M38.3.27.18	M36.3.27.18	M36.4.9.18
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75698904713146e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37512766311189e-05	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23914201806669e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067272801402536	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102559427490485	0	0	0	0	0	0	0	0	0	0	0	0.00013576224328594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82901437139301e-05	0	0	0	0	0	0	0	0.00363027087405753	0	0	0	0	0	0	0	0	0	6.71351206194334e-05	0	0	6.01711870270921e-05	0	0	0	0	6.65668164420037e-05	0	0	0	0	0	0	0	0	0.000177043375627029	0	0	0.00596157043441085	0	0	0	0	0	0	0
k__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	1.20586532896006e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022142924058287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7524820066707e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07476308386377e-05	0	1.63286633356193e-05	0	0	0	0	0	0	1.32957506780833e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52834683182468e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	6.02932664480031e-05	4.50673757267114e-05	0	0	1.35948991938225e-05	2.26847388419441e-05	2.26700822923987e-05	0	2.50988266298551e-05	0	0	0	0.00157354415441036	2.47828403613338e-05	0.00786267871002576	0	5.62263673549711e-05	4.99841716789683e-05	4.18211726656815e-05	6.66481532907526e-05	0	0.000147239263803681	0.000122102606890657	2.3447208609815e-05	2.95779230382443e-05	0.0147339669568307	3.30917634600748e-05	0	0	3.89554738933399e-05	5.76103237700196e-05	0	0.000108620385330817	0.000137177632563476	3.87521798101143e-05	0	6.99251800573386e-05	0.000113550340651022	0	4.25825462659365e-05	2.28453937974756e-05	9.6184234029982e-05	1.13954919433872e-05	0	0.00265545769949293	8.38855800687862e-05	0.012780531269143	2.91259308162057e-05	2.79084046160501e-05	8.44042117701673e-05	2.3161283598337e-05	0	0.000899216397139636	0.000101770812131081	3.70260663507109e-05	1.14077116130504e-05	1.32025401687285e-05	3.30218274279299e-05	5.2949274594938e-05	5.85148920400242e-05	0	4.60985279203417e-05	0	0	0	0	7.47562944799952e-05	0.00141516109250436	0	0	3.69351234556502e-05	0	0	2.75482093663912e-05	1.23216442002021e-05	2.86804141451803e-05	0	0	1.27124569365521e-05	0	1.37010700535712e-05	0	6.12459883877606e-05	2.49165296257537e-05	1.50925171300069e-05	1.0415798683443e-05	0	4.17019975256815e-05	0	4.99394484187922e-05	0	0.00381790415242528	0	0	0.000261101150585737	1.72956518731191e-05	0	1.67664269067619e-05	3.66932080871831e-05	5.40754893831789e-05	0.0001263699653057	0.000110633236990223	2.82901437139301e-05	0.000129639472626625	1.28481858361599e-05	6.53146533424774e-05	0	0	0	0	1.55139780942629e-05	0	0.000212732010849333	1.47396969518307e-05	1.9121190102872e-05	0	0	0.00277606415792721	7.61015702290657e-05	0.000173498156582086	4.47567470796223e-05	6.55243586803394e-05	0	0	0	0	0	0.000638895987733197	0.00159760359460809	0.000212958526326998	0.000762267746545974	0	0	0.00010584250635055	0	3.4611657206147e-05	0.000245519273262951	2.95072292711714e-05	0	0.00118168389955687	0.000142507659786714	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Stenotrophobacter	0	0	0	0	0	0	0	2.55408270119786e-05	0	0	0	5.72540936676972e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Aciditerrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25794075099063e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter	0	0	0	0	0	0	0	1.27704135059893e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57002271006813e-06	0	0	0	0	5.6977459716936e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07713947894157e-05	0	0	0	0	0	0	0	0	1.51400454201363e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000226287663840972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75698904713146e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.98502246630055e-05	0	0	0	0	0	0	0	0	0.000236057834169371	0	0	0.000118756383155595	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47828403613338e-05	0	0	0	0	0	0	1.25794075099063e-05	0	0	0	0	0	0	0	0.000407713947894157	0	5.76103237700196e-05	0	0	0	0	0	0	3.78501135503407e-05	0	0	0	0	4.55819677735488e-05	1.25445330924783e-05	0	0	0	9.70864360540189e-06	0	0	0	0	0	0	0	0	1.32025401687285e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000313321380702884	0	0	0	0	0	0	1.38291546237778e-05	0	0	0	0	0	0	0	0	0.000294765583790996	0	0	0	0	0	0	0	0	0	0	1.63810896700849e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.90841949778434e-05	0.000546279362515735	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55139780942629e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37512766311189e-05	0	0	0	0	0	0	0
