#OTU ID	M5.8.22.17	M12.10.31.17	M36.3.13.18	M8.9.5.17	M20.10.31.17	M17.11.27.17	M18.11.14.17	M9.8.8.17	M11.10.31.17	M35.3.13.18	M19.12.11.17	M35.2.27.18	M21.12.19.17	M1.9.5.17	M21.11.8.17	M2.8.8.17	M6.9.5.17	M12.11.28.17	M17.11.14.17	M19.11.28.17	M4.9.5.17	M12.11.14.17	M11.11.14.17	M27.11.8.17	M30.11.8.17	M23.11.8.17	M11.11.27.17	M38.2.27.18	M2.7.25.17	M33.2.27.18	M5.7.25.17	M20.11.27.17	M12.12.11.17	M2.8.22.17	M19.10.31.17	M37.2.27.18	M14.11.27.17	M9.9.5.17	M17.10.31.17	M9.7.25.17	M18.11.28.17	M13.11.27.17	M2.9.5.17	M8.8.8.17	M24.12.19.17	M13.11.14.17	M21.11.22.17	M1.8.8.17	M8.8.22.17	M6.8.8.17	M10.7.25.17	M8.9.19.17	M22.12.19.17	M23.12.6.17	M7.8.8.17	M10.8.22.17	M1.7.25.17	M15.11.28.17	M23.11.22.17	M15.11.14.17	M3.7.11.17	M22.11.22.17	M37.4.9.18	M10.8.8.17	M27.11.22.17	M31.2.13.18	M15.10.31.17	M23.12.19.17	M36.2.27.18	M31.2.27.18	M22.11.8.17	M30.12.19.17	M5.9.5.17	M29.11.22.17	M33.3.12.18	M32.2.27.18	M14.11.14.17	M34.2.13.18	M10.9.5.17	M14.10.31.17	M18.12.11.17	M32.2.13.18	M16.11.14.17	M30.12.6.17	M27.12.19.17	M34.1.30.18	M31.1.30.18	M29.12.6.17	M13.10.31.17	M29.11.8.17	M32.1.30.18	M21.12.6.17	M33.1.30.18	M32.3.12.18	M2.7.11.17	M30.11.22.17	M34.3.12.18	M29.12.19.17	M33.2.13.18	M22.12.6.17	M15.12.11.17	M1.8.22.17	M9.8.22.17	M3.8.22.17	M3.8.8.17	M4.8.22.17	M3.7.25.17	M34.2.27.18	M18.10.31.17	M27.12.6.17	M9.9.19.17	M3.9.5.17	M24.12.6.17	M24.11.22.17	M6.8.22.17	M31.3.12.18	M16.10.31.17	M6.7.25.17	M1.7.11.17	M7.9.5.17	M2.9.19.17	M10.7.11.17	M38.3.13.18	M4.7.25.17	M4.8.8.17	M37.3.13.18	M5.8.8.17	M7.7.25.17	M8.7.11.17	M19.11.14.17	M4.7.11.17	M16.11.27.17	M35.3.27.18	M7.8.22.17	M9.7.11.17	M5.7.11.17	M8.7.25.17	M7.7.11.17	M20.11.14.17	M1.9.19.17	M6.7.11.17	M37.3.27.18	M38.4.9.18	M24.11.8.17	M35.4.9.18	M38.3.27.18	M36.3.27.18	M36.4.9.18
NR 112835.1 Parabacteroides gordonii strain MS-1 16S ribosomal RNA gene  partial sequence	480537.333590585	628239.217630357	793.918583649247	639904.360410244	1903.28588713515	1247.64648503958	1473.53864638473	478586.846844545	987400.230912103	1935.75568485897	1020909.96714991	5725.84647096996	243137.951600827	5080.48227407343	506749.156355456	18053.4108456717	825942.116582095	643962.745130709	1951.65472439847	1777.30383008975	1383.83927335858	177177.914110429	967978.26551482	1440345.13886447	1297879.26291816	242383.194173033	858414.547379916	448.846464586014	35266.8970226992	1307086.0007012	12098.1679917041	535.632984279172	737803.967359574	479866.315828854	2131.36988955629	605.632381144645	170617.439339906	659646.785414191	4259.48800954125	193495.090232416	2513.07943615636	540692.801297113	6039.67955511492	485485.611059538	413664.264745129	486176.854770094	245586.679289414	8543.52342672958	9209.77352329654	320780.001899355	161086.727426434	701228.021211275	124618.151711537	32566.6598819459	437631.900477619	4677.16176135067	15050.6970849176	557188.30146727	8736.63030816478	407950.300867004	118155.795115415	16288.1465318541	171.118602303256	435980.650296981	1224357.21246346	1381996.4115356	872854.494348424	333314.464696781	2421.01440503571	1024257.79714908	7387.02469113003	1355384.9657704	14199.1907717826	923303.672277473	1501269.12935262	1412797.20079158	267161.024290516	1294077.78503836	868896.431613338	908177.696710152	732195.215520785	824510.183263569	2204.88259000208	635106.515510153	1418998.46056325	1388842.5964503	882142.324332388	1019349.99582974	1100926.35366773	1398928.79883142	1003089.5388791	299978.183404843	792197.38970646	1444358.16259483	84422.7053560549	862015.289356256	1355943.87930837	1393145.76975957	1834171.16158466	20368.4343343307	647481.187891321	374222.099294703	5092.65808459471	606858.105918195	1670.30707953231	330861.939445406	3552.39786856128	1232704.98653543	1189.81518204172	493248.521370383	520706.479161657	1486.37489677952	484630.112216136	589.587878073227	4015.37314288992	1833197.6519988	3012.52349051055	253008.33076211	706729.915527257	446757.753198872	738726.642049905	126677.701119287	1452.15160462752	4362.34543758837	1090891.81356013	372.939509211606	4878.84208814441	88167.6463071812	13979.0314528208	7985.94473726242	10482.180293501	3170.1462796069	635.414846467888	7408.97544453853	64426.6475772896	308757.355486327	92689.2149039347	2656.7481402763	6939.62526023595	236927.621861152	4988.00503550985	1958.60009058525	767.769055068236	1560.24495845848	3677.99181646821	15485.2030282175	10557.4324324324	25965.8861977884
NR 041342.1 Parabacteroides distasonis strain JCM 5825 16S ribosomal RNA gene  partial sequence	127701.138336871	85177.3401234846	0	248012.751945301	566091.602430768	444388.993489554	610498.396109858	100903.018149771	409868.982480799	455.47192584917	125597.497885398	763.446196129328	303922.439501034	279674.353477652	292238.470191226	314628.939958216	380360.682006663	451357.070261084	604734.156745755	643495.067981872	364830.353885443	61840.490797546	500218.769396705	234.469337272418	591.558460764885	570816.308402914	619322.600393799	0	525435.994659002	7531.39161937905	15554.7874179053	445646.642920271	440048.336071472	149646.460237688	475683.007169153	201.877460381548	27970.0720229355	150188.113640321	100097.968224219	263500.796293615	959539.421077883	456875.111642414	581290.668125306	108262.036781494	697224.446223646	523565.856172181	376176.421451245	237276.946078717	157822.028103763	81988.836011776	261259.278989242	200350.863203222	326747.937305507	33584.3680032567	34556.3824404211	158567.191421401	194734.896493452	465277.548459532	97426.665254686	506548.855535075	369693.647603386	327606.871753895	171.118602303256	83736.452146225	749.60645661028	10502.8226335828	240715.268225585	396807.426695347	0	5716.12303954843	145893.737649818	0	618355.909627805	275.489682911375	10350.1811281697	8890.92838500588	117121.175369902	6534.52406883032	311709.444084258	417938.855624727	48091.4147918779	4924.5488761476	726018.839496797	249.159088077738	754.625856500347	13853.0122489793	7757.72042369088	417.025772192721	388776.775511196	624.243105234903	5630.46805070309	54177.8779725111	4554.66381869297	10513.1115226092	171978.624519139	345.913037462382	13892.3970699672	838.335401227323	9907.16618353943	419085.042719637	559250.962146016	168994.60655511	22916.9613806762	147403.902249303	150713.0926378	130319.756997746	439076.376554174	4178.66097130653	659686.417598689	5579.73440464234	157848.604959626	309331.131296449	301281.710365367	3979.71817699428	258131.130614352	5355.84215262008	605373.768093073	24683.7395865474	228051.038786434	26458.4688787682	146805.415687591	203700.365447961	484.050534875841	64532.6273353591	124958.426379056	0	318751.016425435	227446.971633018	89199.5340322849	29814.1936857797	2858.7764436821	336488.383678275	0	169348.010160881	172699.208089124	106265.143648321	12890.5530661101	139331.680245602	596807.772380291	9453.47119645495	4512.95693688986	244.825011323157	0	5070.79611499005	2758.49386235116	0	2111.48648648649	447.687693065318
NR 028961.1 Faecalibacterium prausnitzii strain ATCC 27768 16S ribosomal RNA gene  partial sequence	11335.1340922246	897291.450718825	0	20344.3864175004	154438.054841823	177165.800875621	56107.8176892647	7791.24570523546	115581.547111089	113.867981462293	654936.365245786	572.584647096996	52662.9696838953	326390.007558766	449.943757030371	133867.744572622	23333.2864793444	680951.032173145	114032.397468425	85088.420865547	85798.0349482318	1529325.15337423	61560.6907007743	71630.3825367238	44514.7741725576	4441.2861964825	39545.3116468389	0	263686.308085904	33891.2622872057	318585.090448208	112750.743190766	739025.946694546	14341.1191061118	349350.900988181	0	2657156.84217887	45798.2907018115	443838.650594199	38239.126546811	251993.328916406	685243.964439315	139482.410857748	12419.3993526859	22284.4942620763	656704.25539564	2227.54357632121	170870.468534592	193823.870058468	17621.7961569712	19339.6718046114	91802.5597065508	22982.2708196534	64115.6116425809	49119.4293260271	167008.898015058	241339.24799324	678818.699160145	794.239118924071	641524.522855164	61108.0658586597	14136.8818955715	171.118602303256	28320.3722980834	50723.3702306289	32529.5756567911	284970.994557742	27925.5820974376	0	56268.0861705548	184.675617278251	85205.5785539166	125028.272724988	34849.4448882889	17619.951206289	24378.3520234032	986867.181815032	37755.0279532418	22882.4224857938	186235.245912473	501603.047159729	47134.9678145556	163528.792091821	46592.7494705369	75613.5108213348	198837.596866928	136506.042070715	65751.0634157191	346957.134868341	60177.0353446446	50096.7285536916	26179.9141880591	104129.038337705	34526.0139776596	155790.353182823	95471.9983396174	75432.2716939539	52982.7973575668	28987.6343888746	11175.6011391903	591762.88126831	276033.743603928	151082.189842976	9204.64121345693	205704.741102403	15514.256785446	36944.9378330373	30179.2181261027	123079.770497872	79232.2285459212	428789.723939467	110982.658959538	13694.6231984258	147.396969518307	78012.9639190042	36633.9603239213	5020.87248418425	6170.93489663684	254432.916465843	21687.2695727608	328074.297862817	284983.858016093	242.02526743792	134029.302927284	566351.499025989	372.939509211606	58546.105057733	24278.0475338615	579464.137127642	51110.0463184795	907185.058128454	70875.4132512114	158.853711616972	119602.032176122	261285.848507897	257182.416060921	204407.341476889	501535.010036604	1734.90631505899	111078.286558346	1065770.40925394	0	0	195.03061980731	459.748977058526	0	0	0
NR 025567.1 {Clostridium} bolteae strain 16351 16S ribosomal RNA gene  partial sequence	130595.215126375	87881.3826670873	0	191279.179512993	280326.821376619	321665.948324751	275551.726873944	87619.5828490414	579162.692635912	227.735962924585	161693.25491276	381.723098064664	162684.161770491	24906.7545631405	160292.46344207	25774.3664274684	151244.67621551	152951.565337643	241726.378007639	178730.116413401	30947.67829511	506503.067484663	667297.53655484	109731.649843492	151291.076340619	206852.904601172	284097.489948211	149.615488195338	25991.4992508333	108555.920582774	64523.5626224219	359677.548943464	107805.732440836	111985.434411204	224568.881999612	0	409761.555136004	170475.620926412	145674.489926311	45137.4990418927	205958.28288136	208307.569699218	27349.4923250487	93584.5648192287	295569.789164665	115762.100494925	107200.534610458	23300.5184365352	122517.89626446	124407.770473467	78169.3321443874	105956.700291057	118480.029691381	410136.372888256	63065.3979537685	11635.8658453114	45812.209547951	193287.763211483	65127.6077517738	203926.38754791	103741.600178655	10295.3379022097	171.118602303256	71336.7215724695	149421.553684316	69143.5823377533	127833.263560792	283501.264198649	0	49122.9323711193	123178.636724593	114813.177391048	51644.8443115277	126174.27477341	197146.307203233	108985.573751685	341661.180221075	129480.384326823	150896.863836874	45864.890228267	231277.231249829	45024.4468676352	179207.95717628	200822.224990657	167828.790485677	295183.734688776	95628.8229151126	98140.0650560205	43521.6027620414	317365.194701425	42445.0668437617	87993.6004654207	98160.8581614864	156860.402604384	99740.6395237515	117783.389255941	268088.819490689	134301.331276617	193740.138700327	85799.7764879772	196794.761330346	122389.710966671	60546.0461168482	144940.688403448	54092.2523448542	136525.459711925	159857.904085258	259076.980221005	205177.01805875	314697.020421828	56856.5245382831	63253.5094962841	168590.118598096	1179.17575614645	26577.9460410333	215947.555593642	152491.070019653	98734.9583461895	286649.247862814	402515.72327044	62213.2706724852	189606.856655905	0	33093.6550437739	129709.69734404	0	213042.771182306	100945.566061845	49925.1123315028	549432.997923654	55269.6779111873	442688.284045107	0	13759.5258255716	62189.6112030782	126687.43509865	292185.869498496	150253.867044515	57251.9083969466	267060.561299852	4037.90883826987	0	191.942263767059	390.06123961462	459.748977058526	0	2111.48648648649	0
NR 024906.1 Enterococcus mundtii strain ATCC 43186 16S ribosomal RNA gene  partial sequence	180397.453212425	0	36718.7344937777	216657.228549256	407.846975814674	113.422407730871	0	353543.739542488	250.99141609357	44977.8526776056	0	34736.8019238844	40480.6923594279	8550.07992466017	63442.0697412823	3974.02125533654	204095.975710892	333.227811193122	0	111.08148938061	37741.0710915976	0	101.753207769875	22274.5870408797	2070.4546126771	7994.3151536685	165.461555007694	26182.7104341841	22016.3287771764	389.554738933399	413066.02143104	267.816492139586	0	217610.894262305	193.760899050572	122135.863530837	2797.00720229355	125737.125381337	1703.7952038165	656708.028513273	0	412.21814584278	14700.3521247137	530396.166294503	62983.720309581	119.836542955409	192404.076404745	202423.2539174	93353.6134406877	94756.7242452701	316730.553207259	179319.006419202	63094.1844862535	215754.121717891	209066.113764548	263289.984029204	301013.941698352	110.0727580931	20385.4707190512	292.577313555107	20504.6998396167	118165.893235809	9924.87893358887	233604.800685812	4497.63873966168	0	0	14151.477414242	15736.5936327321	178.628844985888	314502.576224861	133.971035462133	32922.0175416552	2341.66230474669	0	0	1039.53705949617	0	105894.766281479	0	0	0	244.986954444676	498.318176155475	301.850342600139	104.15798683443	149.186931224825	695.042953654536	1094.11850519098	1997.57793675169	0	33452.112573631	0	119.467176393286	23673.1709864401	2594.34778096786	0	1341.33664196372	0	476044.558203252	114.883106439198	186419.582353755	50360.7299476588	338367.796720036	176538.609790569	73488.5847731652	0	464.295663478503	0	1115.94688092847	38628.3072579332	11065.235342692	51986.3851513056	170390.896763163	36138.3582860093	428.467372209606	143.453499548121	12341.8697932737	83204.3834504452	277597.050531338	124426.54134497	8685.53448812704	77206.0603126966	93414.362646289	475.127096498313	24054.5983441486	0	24278.0475338615	34281.9104676319	532.396315817494	375452.639603583	226.439019971922	71007.6090927865	1058.4250635055	120799.964207418	273797.161647629	1047203.97765637	26272.2871649545	1734.90631505899	302511.078286558	950.09619723997	317538.039686134	49713.0463156683	602449.58458478	114017.746310514	380247.763248451	743243.243243243	160719.881810449
NR 024733.1 Coprobacillus cateniformis strain JCM 10604 16S ribosomal RNA gene  partial sequence	0	0	0	0	0	3175.8274164644	566.745633224896	0	0	0	0	190.861549032332	0	16604.5030420937	0	8856.39022617858	0	0	278.80781777121	222.162978761219	7296.60707770887	0	0	53107.3048922027	101748.05525156	0	0	0	101.927448042483	5453.76634506759	0	1339.08246069793	0	0	1162.56539430343	0	0	832.696194578391	0	0	1256.53971807818	0	19258.6008455551	0	0	0	0	11650.2592182676	33908.7116085009	633.118424801359	0	20334.1174594314	0	0	123.415651572932	19507.1868583162	528.094634558513	0	0	0	203.016830095215	0	0	0	70712.8757402364	17796.4494624597	0	0	0	2858.06151977421	0	39521.4554613293	21235.9578799226	67081.7377889198	3326.84393405456	3154.84555596983	0	5324.42701904693	127.124569365521	0	548.050311018551	3517.534911534	0	97670.3625264732	24600.8029219113	6770.26914423798	3431.29941817097	48374.9895743557	0	105871.630647839	3898.01634279444	0	3298.20483422594	3942.41682097844	0	14874.2606108824	4248.08836023789	36216.0893330204	17245.807800976	0	0	0	9336.53982175697	0	4240.0102788128	0	0	3714.36530782802	396.605060680574	69188.706617565	8920.19143506488	19818.3319570603	0	0	10325.2452245741	214.233686104803	0	0	507.343801527105	0	19917.1981649323	4588.58425787844	0	1052.97993321099	0	0	0	0	0	0	0	0	0	11642.6756985605	0	1730.7026652821	0	0	0	46676.5140324963	0	0	0	0	0	0	0	0
NR 024719.1 {Clostridium} hylemonae strain TN-272 16S ribosomal RNA gene  partial sequence	0	0	0	104.867971224229	0	113.422407730871	0	766.352036580537	0	0	0	0	1776.58210981815	495.656807226676	0	10559.5421927514	843.371800458232	333.227811193122	278.80781777121	0	14970.6248663337	490.79754601227	0	0	0	43080.4761058803	0	0	57894.7904881305	0	467795.829012559	0	135.775481663521	7607.02839541583	387.521798101143	0	0	2043.89065941969	0	0	0	0	1367.47461625244	3136.21195774895	35761.9428876434	119.836542955409	0	105143.589444865	20791.7614389573	2532.47369920544	0	0	92214.5773260627	58009.3629147161	987.32521258346	14145.5624001825	163577.313054499	110.0727580931	0	0	22940.9018007593	7836.7497464581	0	0	0	0	0	49530.1709498472	0	0	369.351234556502	0	8670.30232967254	0	0	286.804141451803	0	0	381.373708096564	0	137.012577754638	0	14454.2303122359	0	301.850342600139	0	298.373862449649	0	121.568722798998	124.848621046981	0	0	0	0	13229.1249630107	0	229.626397850697	0	0	1261.76141894084	0	0	57433.8661762626	129.642833992351	199023.512784273	0	710.479573712256	0	132.201686893525	0	0	825.763831544178	1994.36260171249	11202.1696833913	4206.58138778944	0	32850.8513965198	0	3044.06280916263	433.745391455216	0	27039.8715196408	0	464213.724841301	475.127096498313	0	813.140348024069	53667.2629695885	4992.51123315028	532.396315817494	14293.8822184105	14718.5362981749	0	1058.4250635055	4474.07274842289	192107.995846314	0	14169.3234148069	0	2363.36779911374	0	0	0	0	0	0	0	0
NR 024661.1 Eubacterium ruminantium strain GA195 16S ribosomal RNA gene  partial sequence	361.759598688019	0	0	0	0	0	0	383.176018290269	0	0	98.3535613824577	0	0	44609.1126504009	0	340.630393314561	1405.61966743039	0	0	0	503.214281221301	0	0	0	0	0	0	0	22424.0385693463	0	5761.03237700196	0	0	0	0	0	0	605.597232420648	0	85.165092531873	0	0	455.824872084145	125.448478309958	0	0	0	1844.6243762257	0	316.55921240068	694.838507950111	0	0	0	5430.28866920903	0	6733.20659062104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1759.19177703501	0	0	0	0	0	508.498277462085	0	0	0	0	0	0	0	0	0	0	124.848621046981	0	0	0	0	1392.5394697906	0	0	0	0	0	0	5531.7383487761	565.850898288301	518.571335969404	513.940639856097	0	0	0	0	0	63759.9770402029	0	0	0	0	0	0	0	10654.2198320692	0	2014.09869083585	2458.17013814916	0	1654.68275218869	0	0	0	0	130803.794308537	0	219172.860682295	0	0	2116.85012701101	10737.7745962149	12114.9186569747	2455.34344116383	111583.421891605	0	2954.20974889217	281941.046530961	0	0	0	0	0	0	0
NR 024641.1 Pluralibacter gergoviae strain JCM1234 16S ribosomal RNA gene  partial sequence	0	0	0	0	0	0	0	0	0	341.603944386878	0	190.861549032332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1047.30841736737	0	0	0	0	0	0	0	201.877460381548	0	0	0	0	0	0	0	0	0	0	0	97.0854934855634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403.502400839285	0	2585.45864189551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.5668820440425	0	0	0	382.41648979904	0	0	0	0	0	0	0	2662.27794181713	0	0	745.879018423212	0	0	0	0	0	0	635.414846467888	0	0	0	0	0	0	0	237.524049309993	244.825011323157	575.826791301177	585.091859421929	0	0	2111.48648648649	447.687693065318
NR 024644.1 Serratia rubidaea strain JCM1240 16S ribosomal RNA gene  partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.396969518307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780.122479229239	0	0	0	0
