Mouse ID	Left Ear Punch	Right Ear Punch	Body Weight (g)	Donor	Donor Type	Cage ID	Diet	Diet Type	Date	Fat (g)	Percent Fat	Lean (g)	Percent Lean	Free Water	Total Water	Notes
M11	1	0	20.8	TFSCS023	Thai	5	LabDiet 5061	HighFiber	11/27/17	3.2	15.38	15.52	74.62	0.03	12.28	Weighed and Scanned day before SAC
M12	2	0	23.5	TFSCS023	Cohoused	C3-4	LabDiet 5061	HighFiber	12/10/17	3.26	13.87	18.43	78.43	0.13	15.86	Weighed and Scanned day before SAC
M13	2	1	18.7	TFSCS023	Thai	3	LabDiet 5061	HighFiber	11/27/17	2.32	12.41	14.64	78.29	0.14	12.22	Weighed and Scanned day before SAC
M14	1	1	23.2	TFSCS023	Thai	3	LabDiet 5061	HighFiber	11/27/17	3.18	13.71	18.02	77.67	0.12	14.84	Weighed and Scanned day before SAC
M15	0	0	21.7	TFSCS023	Cohoused	C3-4	LabDiet 5061	HighFiber	12/10/17	2.17	10	17.89	82.44	0.09	14.1	Weighed and Scanned day before SAC
M16	0	1	17.8	IMP.263	US	4	LabDiet 5061	HighFiber	11/27/17	2.92	16.4	13.12	73.71	0.14	11.52	Weighed and Scanned day before SAC
M17	0	2	20.6	IMP.263	US	4	LabDiet 5061	HighFiber	11/27/17	2.81	13.64	15.68	76.12	0.04	13.09	Weighed and Scanned day before SAC
M18	1	2	21.6	IMP.263	Cohoused	C3-4	LabDiet 5061	HighFiber	12/10/17	3.35	15.51	16.57	76.71	0.1	14	Weighed and Scanned day before SAC
M19	2	2	24.7	IMP.263	Cohoused	C3-4	LabDiet 5061	HighFiber	12/10/17	3.62	14.66	19.26	77.98	0.15	15.16	Weighed and Scanned day before SAC
M20	0	3	22.7	IMP.263	US	4	LabDiet 5061	HighFiber	11/27/17	3.44	15.15	16.83	74.14	0.11	13.38	Weighed and Scanned day before SAC
M21	1	0	22.4	TFSCS026	Thai	6	TD.86489	LowFiber	12/19/17	3.26	14.55	17.41	77.72	0.13	14.46	
M22	2	0	22	TFSCS026	Thai	6	TD.86489	LowFiber	12/19/17	3.58	16.27	17.33	78.77	0.01	13.67	
M23	2	1	23.7	TFSCS026	Thai	6	TD.86489	LowFiber	12/19/17	2.82	11.9	19.52	82.36	0.15	15.83	
M24	1	1	23.6	TFSCS026	Thai	6	TD.86489	LowFiber	12/19/17	3.94	16.69	18.17	76.99	0.08	14.69	
M27	1	2	21	IMP.264	US	7	TD.86489	LowFiber	12/19/17	2.32	11.05	17.15	81.67	0.32	14.3	
M29	2	2	23	IMP.264	US	7	TD.86489	LowFiber	12/19/17	4.63	20.13	16.71	72.65	0.24	13.02	
M30	0	3	24.8	IMP.264	US	7	TD.86489	LowFiber	12/19/17	5.41	21.81	17.31	69.8	0.06	14.04	
M31	0	0	23.3	IMP.264	US	9	LabDiet 5061	HighFiber	3/12/18	2.97	12.75	18.46	79.23	0.04	14.33	
M32	1	0	22.3	IMP.264	US	8	LabDiet 5061	HighFiber	3/12/18	2.75	12.33	17.58	78.83	0.13	14.05	
M33	0	1	21.1	IMP.264	US	8	LabDiet 5061	HighFiber	3/12/18	2.47	11.71	16.85	79.86	0.08	14.19	
M34	1	1	21.4	IMP.264	US	9	LabDiet 5061	HighFiber	3/12/18	2.27	10.61	17.09	79.86	0.07	14.06	
M35	0	0	23.4	TFSCS026	Thai	10	LabDiet 5061	HighFiber	4/9/18	2.55	10.90	19.86	84.87	0.12	16.05	
M36	1	0	22.3	TFSCS026	Thai	10	LabDiet 5061	HighFiber	4/9/18	2.42	10.85	18.64	83.59	0.11	15.16	
M37	0	1	20.8	TFSCS026	Thai	10	LabDiet 5061	HighFiber	4/9/18	2.06	9.90	17.43	83.80	0.09	14.23	
M38	1	1	22.8	TFSCS026	Thai	10	LabDiet 5061	HighFiber	4/9/18	2.81	12.32	18.69	81.97	0.13	14.9	
