feature	qval	prevalence.baseline	prevalence.nonbaseline	taxa	short.taxa
220	0.0684197497643796	1	0.948905109489051	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
553	0.204775661171836	1	0.970802919708029	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	Enterobacteriaceae
899	0.117754229860597	1	0.963503649635037	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia faecis;t__	Blautia faecis
921	0.0384514727350463	1	0.941605839416058	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hungatella;s__Hungatella effluvii	Hungatella effluvii
1175	0.726474298267415	0.989473684210526	0.978102189781022	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis;t__	Romboutsia timonensis
58	0.504669540229885	0.989473684210526	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
75	0.326173010340367	0.989473684210526	0.956204379562044	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
12	0.570002155290552	0.978947368421053	0.956204379562044	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis;t__	Gemmiger formicilis
1611	0.000246047444635863	0.978947368421053	0.817518248175182	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	Clostridium
1812	3.04984021877301e-14	0.978947368421053	0.532846715328467	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
267	0.275539384002317	0.978947368421053	0.941605839416058	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri;t__Prevotella copri DSM 18205	t__Prevotella copri DSM 18205
394	0.65820973592088	0.978947368421053	0.992700729927007	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus;t__Bacteroides vulgatus ATCC 8482	t__Bacteroides vulgatus ATCC 8482
543	0.0750859012258765	0.978947368421053	0.912408759124088	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	Enterobacterales
818	0.404353527097605	0.978947368421053	0.948905109489051	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia luti;t__	Blautia luti
909	0.275539384002317	0.978947368421053	0.941605839416058	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans;t__	Dorea formicigenerans
936	0.570002155290552	0.978947368421053	0.956204379562044	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	Blautia
1276	0.0181268194455798	0.968421052631579	0.868613138686131	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1667	0.812983527417617	0.968421052631579	0.956204379562044	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] hallii;t__	[Eubacterium] hallii
1773	0.459930833105547	0.968421052631579	0.934306569343066	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	Eubacterium
1845	9.16281325037868e-06	0.968421052631579	0.751824817518248	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
1905	2.88754086169483e-09	0.968421052631579	0.642335766423358	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
455	0.00139019253614187	0.968421052631579	0.824817518248175	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis;t__Parabacteroides distasonis ATCC 8503	t__Parabacteroides distasonis ATCC 8503
614	0.812983527417617	0.968421052631579	0.956204379562044	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Butyricicoccus	Butyricicoccus
63	1.42944365315863e-06	0.968421052631579	0.722627737226277	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
71	0.00695730879260262	0.968421052631579	0.854014598540146	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
754	0.812983527417617	0.968421052631579	0.956204379562044	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus;t__	Anaerostipes hadrus
806	0.626494282757431	0.968421052631579	0.948905109489051	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia obeum;t__Blautia obeum ATCC 29174	t__Blautia obeum ATCC 29174
822	0.0286374380470045	0.968421052631579	0.875912408759124	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia obeum	Blautia obeum
1643	1.64163349545119e-05	0.957894736842105	0.737226277372263	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	Clostridiales
1890	9.39202057823904e-06	0.957894736842105	0.72992700729927	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__	Faecalibacterium prausnitzii
