Linear model interactions and main effects				
				
Total.Fat.Percent.CaloriesEstimate	Std. Error	t value	Pr(>|t|)	
(Intercept)	122.8665549	45.90643578	2.676455988	0.009044178
map$Years.in.US	-19.77749746	10.94111323	-1.807631184	0.074470312
map$Age	-2.812948629	1.282985301	-2.192502616	0.031286108
map$BMI	-4.314480306	1.858759934	-2.32116059	0.022857393
map$Years.in.US:map$Age	0.528739821	0.292753739	1.806090757	0.074712828
map$Years.in.US:map$BMI	0.83699785	0.443473898	1.887366659	0.062783762
map$Age:map$BMI	0.113114748	0.05051295	2.239321745	0.02794714
map$Years.in.US:map$Age:map$BMI	-0.022389144	0.011672077	-1.91817995	0.058701431
Total.Sugars.in.GramsEstimate	Std. Error	t value	Pr(>|t|)	
(Intercept)	-54.8991294	121.9064694	-0.450338113	0.653700118
map$Years.in.US	21.64869267	29.05458597	0.745104153	0.458419787
map$Age	3.75659682	3.407021383	1.102604415	0.273546655
map$BMI	3.03358375	4.936015119	0.614581535	0.540597194
map$Years.in.US:map$Age	-0.826910298	0.777419856	-1.063659864	0.290723295
map$Years.in.US:map$BMI	-0.824270063	1.177663574	-0.699919809	0.486033405
map$Age:map$BMI	-0.135020698	0.134139262	-1.00657105	0.317214114
map$Years.in.US:map$Age:map$BMI	0.031687476	0.030995691	1.022318768	0.309750481
Dietary.Fiber.in.GramsEstimate	Std. Error	t value	Pr(>|t|)	
(Intercept)	-9.823141822	42.24767301	-0.232513204	0.816740747
map$Years.in.US	1.548170461	10.06910178	0.153754575	0.878195341
map$Age	0.794649785	1.180730818	0.673015197	0.502901665
map$BMI	0.950596293	1.710615965	0.555704093	0.579983556
map$Years.in.US:map$Age	-0.1112052	0.269421139	-0.412756032	0.680903448
map$Years.in.US:map$BMI	-0.101090678	0.408128837	-0.247693054	0.805014555
map$Age:map$BMI	-0.032503723	0.046487046	-0.699199571	0.486480871
map$Years.in.US:map$Age:map$BMI	0.005084121	0.010741807	0.473302231	0.637302821
Carbohydrate.in.GramsEstimate	Std. Error	t value	Pr(>|t|)	
(Intercept)	-833.8034275	436.7048508	-1.90930654	0.059853346
map$Years.in.US	220.6941081	104.0820778	2.120385303	0.03711142
map$Age	23.92226936	12.20495329	1.960045958	0.053516514
map$BMI	47.19415237	17.68225884	2.66901151	0.009229782
map$Years.in.US:map$Age	-5.73290808	2.78494672	-2.058534204	0.042835293
map$Years.in.US:map$BMI	-10.19041806	4.218737511	-2.415513654	0.0180222
map$Age:map$BMI	-1.121596168	0.480526313	-2.334099376	0.022132655
map$Years.in.US:map$Age:map$BMI	0.267720837	0.111035686	2.411124261	0.0182251
Protein.in.GramsEstimate	Std. Error	t value	Pr(>|t|)	
(Intercept)	-287.6656957	253.547749	-1.134562215	0.259989649
map$Years.in.US	116.3184095	60.42931852	1.924867139	0.057845769
map$Age	7.628195247	7.086109594	1.076499756	0.284980298
map$BMI	16.09370912	10.26619447	1.56764117	0.120961947
map$Years.in.US:map$Age	-2.714572247	1.616920377	-1.678853385	0.097132094
map$Years.in.US:map$BMI	-4.718543766	2.449369174	-1.926432249	0.057647038
map$Age:map$BMI	-0.364593723	0.27899018	-1.306833535	0.19506066
map$Years.in.US:map$Age:map$BMI	0.113211527	0.064466534	1.75612864	0.082942012
Total.CaloriesEstimate	Std. Error	t value	Pr(>|t|)	
(Intercept)	-3564.965384	2599.735583	-1.37127999	0.174170376
map$Years.in.US	856.0801544	619.6081419	1.381647684	0.170974861
map$Age	95.07154906	72.65697025	1.308498672	0.194498309
map$BMI	227.5905401	105.2637666	2.162097628	0.033636835
map$Years.in.US:map$Age	-20.86279961	16.57898938	-1.258387899	0.211957874
map$Years.in.US:map$BMI	-40.94871784	25.11444973	-1.630484374	0.106979997
map$Age:map$BMI	-4.82368234	2.860607921	-1.686243789	0.095694582
map$Years.in.US:map$Age:map$BMI	1.032519532	0.661003476	1.562048565	0.122273814
Added.Sugars.in.GramsEstimate	Std. Error	t value	Pr(>|t|)	
